Player,Player ID,Season,Season End Year,Team,On MP,On ORB%,On DRB%,On TRB%,Off MP,Off ORB%,Off DRB%,Off TRB%,TRB% Swing,Source
Andre Drummond,drumman01,2012-13,2013,DET,1243,31.5,70.4,50.7,2718,26.8,74.2,50.0,0.7,https://www.basketball-reference.com/players/d/drumman01/on-off/2013
Andre Drummond,drumman01,2013-14,2014,DET,2610,33.5,74.3,53.0,1334,27.5,71.8,48.3,4.7,https://www.basketball-reference.com/players/d/drumman01/on-off/2014
Andre Drummond,drumman01,2014-15,2015,DET,2493,29.2,74.7,51.1,1457,25.3,75.5,49.4,1.7,https://www.basketball-reference.com/players/d/drumman01/on-off/2015
Andre Drummond,drumman01,2015-16,2016,DET,2658,28.2,78.8,52.3,1306,24.5,80.4,51.9,0.4,https://www.basketball-reference.com/players/d/drumman01/on-off/2016
Andre Drummond,drumman01,2016-17,2017,DET,2404,24.9,80.3,50.8,1548,22.8,82.7,52.9,-2.1,https://www.basketball-reference.com/players/d/drumman01/on-off/2017
Andre Drummond,drumman01,2017-18,2018,DET,2605,24.5,78.4,50.7,1326,18.8,78.6,48.5,2.2,https://www.basketball-reference.com/players/d/drumman01/on-off/2018
Andre Drummond,drumman01,2018-19,2019,DET,2648,26.5,78.1,51.5,1324,21.7,79.8,49.3,2.2,https://www.basketball-reference.com/players/d/drumman01/on-off/2019
Andre Drummond,drumman01,2019-20,2020,CLE,225,28.1,77.2,51.4,2923,24.3,77.5,50.8,0.6,https://www.basketball-reference.com/players/d/drumman01/on-off/2020
Andre Drummond,drumman01,2019-20,2020,DET,1656,23.7,77.2,49.9,1540,21.4,74.6,47.9,2.0,https://www.basketball-reference.com/players/d/drumman01/on-off/2020
Andre Drummond,drumman01,2020-21,2021,CLE,722,26.5,77.1,50.8,2767,22.9,76.5,49.1,1.7,https://www.basketball-reference.com/players/d/drumman01/on-off/2021
Andre Drummond,drumman01,2020-21,2021,LAL,520,24.0,81.7,51.7,2974,22.2,79.4,51.2,0.5,https://www.basketball-reference.com/players/d/drumman01/on-off/2021
Andre Drummond,drumman01,2021-22,2022,BRK,535,30.1,74.8,52.7,3419,22.9,75.2,49.8,2.9,https://www.basketball-reference.com/players/d/drumman01/on-off/2022
Andre Drummond,drumman01,2021-22,2022,PHI,903,24.3,76.1,50.0,3060,18.8,77.0,48.6,1.4,https://www.basketball-reference.com/players/d/drumman01/on-off/2022
Andre Drummond,drumman01,2022-23,2023,CHI,853,27.6,76.0,51.8,3132,17.9,78.3,48.8,3.0,https://www.basketball-reference.com/players/d/drumman01/on-off/2023
Andre Drummond,drumman01,2023-24,2024,CHI,1352,33.5,76.2,54.5,2647,20.8,76.4,48.1,6.4,https://www.basketball-reference.com/players/d/drumman01/on-off/2024
Andre Drummond,drumman01,2024-25,2025,PHI,750,27.9,72.3,48.3,3214,22.3,71.7,46.2,2.1,https://www.basketball-reference.com/players/d/drumman01/on-off/2025
Andre Drummond,drumman01,2025-26,2026,PHI,1231,30.3,72.4,50.3,2747,24.2,72.5,48.5,1.8,https://www.basketball-reference.com/players/d/drumman01/on-off/2026
DeAndre Jordan,jordade01,2008-09,2009,LAC,772,26.2,67.4,46.3,3204,24.9,72.1,47.7,-1.4,https://www.basketball-reference.com/players/j/jordade01/on-off/2009
DeAndre Jordan,jordade01,2009-10,2010,LAC,1137,27.1,76.4,51.4,2804,27.2,73.1,50.1,1.3,https://www.basketball-reference.com/players/j/jordade01/on-off/2010
DeAndre Jordan,jordade01,2010-11,2011,LAC,2046,30.2,72.9,52.2,1925,26.5,73.6,49.7,2.5,https://www.basketball-reference.com/players/j/jordade01/on-off/2011
DeAndre Jordan,jordade01,2011-12,2012,LAC,1798,29.8,72.8,51.5,1395,29.1,73.7,50.5,1.0,https://www.basketball-reference.com/players/j/jordade01/on-off/2012
DeAndre Jordan,jordade01,2012-13,2013,LAC,2009,29.5,74.7,52.3,1937,28.2,72.4,50.8,1.5,https://www.basketball-reference.com/players/j/jordade01/on-off/2013
DeAndre Jordan,jordade01,2013-14,2014,LAC,2861,26.5,72.7,50.6,1076,21.1,72.1,46.8,3.8,https://www.basketball-reference.com/players/j/jordade01/on-off/2014
DeAndre Jordan,jordade01,2014-15,2015,LAC,2807,26.4,76.2,51.9,1121,14.1,74.6,44.7,7.2,https://www.basketball-reference.com/players/j/jordade01/on-off/2015
DeAndre Jordan,jordade01,2015-16,2016,LAC,2586,20.7,75.6,49.0,1360,19.3,70.3,44.4,4.6,https://www.basketball-reference.com/players/j/jordade01/on-off/2016
DeAndre Jordan,jordade01,2016-17,2017,LAC,2564,23.6,78.4,52.1,1374,18.0,73.8,45.9,6.2,https://www.basketball-reference.com/players/j/jordade01/on-off/2017
DeAndre Jordan,jordade01,2017-18,2018,LAC,2408,24.1,77.6,51.2,1503,22.7,73.3,48.5,2.7,https://www.basketball-reference.com/players/j/jordade01/on-off/2018
