player_id,player,minutes_on,team_3pt_on_pct,team_3pt_swing_pp
1627750,Jamal Murray,9064,39.8624,4.422
1631260,AJ Green,4812,39.4904,2.6087
1631157,Ryan Rollins,3335,39.238,2.1792
202695,Kawhi Leonard,7268,39.1283,2.9758
1631212,Peyton Watson,4904,38.8459,1.2391
201142,Kevin Durant,11576,38.7407,2.7168
202681,Kyrie Irving,7166,38.7355,2.9592
203999,Nikola Jokic,12355,38.6991,3.3271
202331,Paul George,7932,38.6053,3.5608
1628379,Luke Kennard,7345,38.6013,3.185
200782,P.J. Tucker,4445,38.4954,1.6267
201939,Stephen Curry,10076,38.3456,3.1569
1627826,Ivica Zubac,9862,38.2723,1.9712
1627777,Georges Niang,6776,38.0897,2.1808
1630174,Aaron Nesmith,6819,38.0136,2.6472
203507,Giannis Antetokounmpo,10123,37.9398,0.8692
1626164,Devin Booker,11568,37.9093,1.8861
1631096,Chet Holmgren,5287,37.879,0.6634
1629008,Michael Porter Jr.,8910,37.8549,2.6618
1627752,Taurean Prince,7152,37.8461,0.7602
1626157,Karl-Anthony Towns,10232,37.8446,1.7522
1626172,Kevon Looney,6288,37.7931,1.6023
201144,Mike Conley,8968,37.7923,1.5799
1628960,Grayson Allen,9289,37.7787,1.3958
1630573,Sam Hauser,6598,37.7679,1.19
1630198,Isaiah Joe,6560,37.7565,1.344
203954,Joel Embiid,7665,37.743,2.7987
203952,Andrew Wiggins,9298,37.7373,1.496
1629636,Darius Garland,10356,37.7274,2.039
201143,Al Horford,8258,37.7078,1.5599
