rank,player_id,player,team_3pt_swing_pp,three_point_attempts
1,1627750,"Jamal Murray",4.421957,1733
2,202331,"Paul George",3.560839,1794
3,203999,"Nikola Jokic",3.327061,1294
4,1628379,"Luke Kennard",3.185049,1436
5,201939,"Stephen Curry",3.156923,3533
6,202695,"Kawhi Leonard",2.975750,1221
7,202681,"Kyrie Irving",2.959188,1515
8,203954,"Joel Embiid",2.798739,826
9,201142,"Kevin Durant",2.716807,1759
10,1629008,"Michael Porter Jr.",2.661839,2030
11,1630174,"Aaron Nesmith",2.647158,1235
12,1631260,"AJ Green",2.608743,1191
13,1630163,"LaMelo Ball",2.576754,2413
14,203994,"Jusuf Nurkic",2.536215,441
15,1630178,"Tyrese Maxey",2.519183,2324
16,1630169,"Tyrese Haliburton",2.373862,1888
17,1629639,"Tyler Herro",2.353698,2201
18,203468,"CJ McCollum",2.344965,2538
19,1641706,"Brandon Miller",2.226628,1319
20,1630703,"Scoot Henderson",2.210929,727
21,1631094,"Paolo Banchero",2.210135,1183
22,1627777,"Georges Niang",2.180776,1576
23,203500,"Steven Adams",2.165567,4
24,1628384,"OG Anunoby",2.161761,1818
25,203484,"Kentavious Caldwell-Pope",2.129610,1539
