season,diagnostic_signature,game_id,resolution,scope,source,type
2002-03,starter_unresolved,20201160,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2004-05,starter_unresolved,20400335,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2004-05,starter_unresolved,20400736,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2005-06,starter_unresolved,20500090,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2005-06,starter_unresolved,20500102,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2006-07,starter_unresolved,20600887,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2007-08,starter_unresolved,20700319,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2008-09,starter_unresolved,20800032,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2008-09,starter_unresolved,20800142,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2009-10,sub_out_absent_completion_run_31547730942_event_475,20900113,excluded_from_player_on_off_accumulation,single_supplemental_game_only,completion_run_31547730942_job_93964115288,accepted_completion_game_exclusion
2010-11,sub_out_absent,21000431,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2010-11,sub_out_absent,21000997,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2011-12,starter_unresolved,21100842,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2012-13,sub_out_absent,21200919,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2012-13,sub_out_absent,21201167,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2013-14,starter_unresolved,21301048,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2014-15,sub_out_absent,21400968,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2015-16,sub_out_absent,21500711,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2015-16,sub_out_absent,21500903,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2015-16,lineup_size,21500916,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2016-17,sub_out_absent,21600358,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2016-17,starter_unresolved,21600655,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2016-17,starter_unresolved,21600668,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2017-18,sub_out_absent,21701085,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2018-19,starter_unresolved,21800143,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2019-20,legacy_source_missing_v3_present,21901316,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
2019-20,legacy_source_missing_v3_present,21901317,excluded_from_player_on_off_accumulation,exact_game_allowlist_only,targeted_exception_aggregate_run_31547002431,accepted_completion_game_exclusion
