boundary_reason,games_processed,minutes_on,needs_on,opponent_dreb_off,opponent_dreb_on,opponent_oreb_off,opponent_oreb_on,opponent_rebounds_off,opponent_rebounds_on,player,player_id,query_end_date,query_start_date,season,seconds_off,seconds_on,segment_count,segment_index,source,team_abbr,team_dreb_off,team_dreb_on,team_games_in_window,team_id,team_oreb_off,team_oreb_on,team_rebounds_off,team_rebounds_on,treb_off,treb_on,treb_swing_pp,lock_engine,lock_code_commit,minutes_off,oreb_pct_on,oreb_pct_off,oreb_swing_pp,dreb_pct_on,dreb_pct_off,dreb_swing_pp
out_depart,57,340.65,False,1632,222,677,95,2309,317,Todd Day,103,2001-02-27,2000-10-31,2000-01,144921,20439,1,1,roster_tenure_v2,MIN,1621,221,57,1610612750,700,94,2321,315,0.5012958963282937,0.49841772151898733,-0.2878174809306411,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2415.35,0.2974683544303797,0.30017152658662094,-0.2703172156241218,0.6993670886075949,0.7053959965187119,-0.6028907911116987
out_trade,42,421.26666666666665,False,1081,256,435,109,1516,365,Erick Strickland,1065,2001-01-30,2000-10-31,2000-01,96584,25276,1,1,roster_tenure_v2,NYK,1088,296,42,1610612752,370,123,1458,419,0.4902488231338265,0.5344387755102041,4.418995237637763,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1609.7333333333333,0.3245382585751979,0.2549965541006203,6.954170447457764,0.7308641975308642,0.7143795141168746,1.6484683413989565
season_close,38,406.96666666666664,False,973,294,460,119,1433,413,Erick Strickland,1065,2001-04-18,2001-01-31,2000-01,85022,24418,1,1,roster_tenure_v2,VAN,932,271,38,1610612763,379,101,1311,372,0.47776967930029157,0.47388535031847134,-0.38843289818202287,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1417.0333333333333,0.25569620253164554,0.28032544378698226,-2.462924125533672,0.6948717948717948,0.6695402298850575,2.5331564986737387
out_depart,6,19.266666666666666,False,194,11,97,4,291,15,Ira Bowman,1085,2001-02-26,2001-02-16,2000-01,16124,1156,1,1,roster_tenure_v2,ATL,203,10,6,1610612737,83,5,286,15,0.49566724436741766,0.5,0.43327556325823413,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,268.73333333333335,0.3125,0.2996389891696751,1.2861010830324926,0.7142857142857143,0.6766666666666666,3.7619047619047663
out_depart,68,519.8333333333334,False,1988,392,840,139,2828,531,Mark Strickland,1110,2001-03-22,2000-10-31,2000-01,165550,31190,1,1,roster_tenure_v2,DEN,1993,355,68,1610612743,791,159,2784,514,0.49607982893799,0.49186602870813395,-0.42138002298560684,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2759.1666666666665,0.2885662431941924,0.28463476070528965,0.3931482488902738,0.7186234817813765,0.7034945287680904,1.5128953013286095
season_close,9,202.26666666666668,False,163,139,69,64,232,203,Mark Strickland,1110,2001-04-18,2001-03-28,2000-01,13784,12136,1,1,roster_tenure_v2,NJN,131,133,9,1610612751,59,72,190,205,0.45023696682464454,0.5024509803921569,5.221401356751231,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,229.73333333333332,0.3412322274881517,0.26576576576576577,7.546646172238591,0.6751269035532995,0.655,2.012690355329949
out_depart,19,75.01666666666667,False,532,53,231,16,763,69,Michael Hawkins,1138,2001-01-02,2000-11-22,2000-01,50519,4501,1,1,roster_tenure_v2,CLE,589,46,19,1610612739,278,21,867,67,0.5319018404907976,0.49264705882352944,-3.9254781667268146,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,841.9833333333333,0.28378378378378377,0.3432098765432099,-5.942609275942612,0.7419354838709677,0.7182926829268292,2.364280094413851
season_close,24,286.31666666666666,False,636,195,270,85,906,280,Vernon Maxwell,137,2001-04-18,2001-02-28,2000-01,52241,17179,1,1,roster_tenure_v2,DAL,656,209,24,1610612742,205,72,861,281,0.4872665534804754,0.5008912655971479,1.3624712116672544,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,870.6833333333333,0.2696629213483146,0.2437574316290131,2.590548971930151,0.7108843537414966,0.7084233261339092,0.24610276075873738
out_depart,26,374.05,False,570,259,278,132,848,391,Vernon Maxwell,137,2000-12-22,2000-10-31,2000-01,52737,22443,1,1,roster_tenure_v2,PHI,635,256,26,1610612755,272,95,907,351,0.5168091168091168,0.47304582210242585,-4.376329470669093,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,878.95,0.268361581920904,0.32304038004750596,-5.467879812660198,0.6597938144329897,0.6955093099671413,-3.5715495534151653
out_trade,37,134.76666666666668,False,1213,106,510,36,1723,142,Tracy Murray,145,2001-01-12,2000-10-31,2000-01,99374,8086,1,1,roster_tenure_v2,DEN,1179,96,37,1610612743,502,39,1681,135,0.49383078730904817,0.48736462093862815,-0.6466166370420023,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1656.2333333333333,0.2689655172413793,0.2927113702623907,-2.37458530210114,0.7272727272727273,0.6980461811722913,2.9226546100435957
