season,status,engine,target_count,games_required,accepted_excluded_games,exceptions,unmatched_rebound_rows,code_commit
2000-01,COMPLETE,historical_recovered_completion,143,1130,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2001-02,COMPLETE,historical_recovered_completion,111,1078,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2002-03,COMPLETE,historical_recovered_completion,95,1068,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2003-04,COMPLETE,historical_recovered_completion,212,1162,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2004-05,COMPLETE,historical_recovered_completion,189,1202,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2005-06,COMPLETE,historical_recovered_completion,154,1220,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2006-07,COMPLETE,historical_recovered_completion,102,1144,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2007-08,COMPLETE,historical_recovered_completion,190,1208,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2008-09,COMPLETE,historical_recovered_completion,180,1212,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2009-10,COMPLETE,historical_recovered_completion,182,1195,1,0,0,2f930c27ee596536e610129bc80f2b6106ec0ba4
2010-11,COMPLETE,historical_recovered_completion,216,1211,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2011-12,COMPLETE,historical_recovered_completion,158,977,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2012-13,COMPLETE,historical_recovered_completion,159,1199,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2013-14,COMPLETE,historical_recovered_completion,196,1221,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2014-15,COMPLETE,historical_recovered_completion,246,1203,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2015-16,COMPLETE,historical_recovered_completion,158,1218,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2016-17,COMPLETE,historical_recovered_completion,178,1210,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2017-18,COMPLETE,historical_recovered_completion,215,1222,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2018-19,COMPLETE,historical_recovered_completion,266,1228,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2019-20,COMPLETE,historical_recovered_completion,204,1043,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2020-21,COMPLETE,historical_recovered_completion,245,1074,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2021-22,COMPLETE,historical_recovered_completion,382,1230,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2022-23,COMPLETE,historical_recovered_completion,234,1230,6,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2023-24,COMPLETE,historical_recovered_completion,262,1216,2,0,0,d0e3d118219d99b1005e6dfea942afe645ff2042
2024-25,COMPLETE,historical_recovered_completion,255,1227,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2025-26,COMPLETE,modern_cdn_explicit_substitutions,267,1230,0,0,0,0249c24df836f31931e955999b9b9f0eee3bb77f
