season,team_id,player_id,player,ok,error,minutes_on,minutes_off,precision_reconciled,null_metric_count,candidate_count,best_interval
2013-14,1610612745,2694,Josh Powell,True,,19.366666666666667,3946.633333333333,True,0,1,"{""end"": ""2014-04-16"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2014-04-16""}"
2015-16,1610612739,2563,Dahntay Jones,True,,42.35,3928.65,True,0,1,"{""end"": ""2016-04-13"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2016-04-13""}"
2010-11,1610612747,201234,Trey Johnson,True,,13.4,3952.6,True,0,1,"{""end"": ""2011-04-13"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2011-04-13""}"
2012-13,1610612752,2853,Earl Barron,True,,36.5,3909.5,True,0,1,"{""end"": ""2013-04-17"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2013-04-17""}"
2017-18,1610612739,2570,Kendrick Perkins,True,,14.533333333333333,3931.4666666666667,True,0,1,"{""end"": ""2018-04-11"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2018-04-11""}"
2016-17,1610612739,2563,Dahntay Jones,True,,12.0,3964.0,False,0,1,"{""end"": ""2017-04-12"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2017-04-12""}"
2017-18,1610612745,1628935,Aaron Jackson,True,,34.5,3915.5,True,0,1,"{""end"": ""2018-04-11"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2018-04-11""}"
2022-23,1610612751,1630564,RaiQuan Gray,True,,35.083333333333336,3863.9166666666665,True,0,2,"{""end"": ""2023-04-09"", ""metric_count"": 89, ""minute_source"": ""team_total_fallback"", ""source"": ""team_trb_all_players/impact_database/roster_tenure/player_team_season_windows_evidence_audited.jsonl.gz"", ""start"": ""2023-04-09""}"
2025-26,1610612741,1631338,Mouhamadou Gueye,True,,45.44166666666667,3809.5583333333334,True,0,2,"{""end"": ""2026-04-12"", ""metric_count"": 89, ""minute_source"": ""team_total_fallback"", ""source"": ""team_trb_all_players/impact_database/roster_tenure/player_team_season_windows_evidence_audited.jsonl.gz"", ""start"": ""2026-04-10""}"
2024-25,1610612755,1630600,Isaiah Mobley,True,,17.366666666666667,3943.633333333333,True,0,1,"{""end"": ""2025-04-13"", ""metric_count"": 89, ""minute_source"": ""exact"", ""source"": ""team_trb_all_players/impact_database/roster_tenure_v2/wowy_partial_segments.jsonl.gz"", ""start"": ""2025-04-13""}"
