canonical_minutes_on,error,minutes_delta,mode,player,player_id,prior_classification,recovered_minutes_on,season,segments,source,status,team_id
58.15,,0.14999999999999858,FULL_SEASON_SAFE,Kirk Haston,2213,NO_STAGE2_COUNTERPART_FOUND,58.0,2002-03,1,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,RECOVERED,1610612740
10.916666666666666,,0.08333333333333393,TENURE_SCOPED,Dana Barros,344,NO_STAGE2_COUNTERPART_FOUND,11.0,2003-04,1,V2_PARTIAL,RECOVERED,1610612738
2261.7,,0.3000000000001819,FULL_SEASON_SAFE,Mo Williams,2590,SEASON_MAPPING_MISMATCH,2262.0,2004-05,1,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,RECOVERED,1610612749
13.4,RuntimeError('minutes mismatch recovered=13.000000 canonical=13.400000 delta=0.400000 tol=0.350000'),,TENURE_SCOPED,Trey Johnson,201234,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,,2010-11,,V2_PARTIAL,FAILED,1610612747
36.5,RuntimeError('minutes mismatch recovered=36.000000 canonical=36.500000 delta=0.500000 tol=0.350000'),,TENURE_SCOPED,Earl Barron,2853,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,,2012-13,,V2_PARTIAL,FAILED,1610612752
19.366666666666667,RuntimeError('minutes mismatch recovered=19.000000 canonical=19.366667 delta=0.366667 tol=0.350000'),,TENURE_SCOPED,Josh Powell,2694,NO_STAGE2_COUNTERPART_FOUND,,2013-14,,V2_PARTIAL,FAILED,1610612745
42.35,RuntimeError('minutes mismatch recovered=42.000000 canonical=42.350000 delta=0.350000 tol=0.350000'),,TENURE_SCOPED,Dahntay Jones,2563,NO_STAGE2_COUNTERPART_FOUND,,2015-16,,V2_PARTIAL,FAILED,1610612739
24.0,,0.0,TENURE_SCOPED,Edy Tavares,204002,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,24.0,2016-17,1,V2_PARTIAL,RECOVERED,1610612739
12.0,,0.0,TENURE_SCOPED,Dahntay Jones,2563,NO_STAGE2_COUNTERPART_FOUND,12.0,2016-17,1,V2_PARTIAL,RECOVERED,1610612739
14.533333333333333,RuntimeError('minutes mismatch recovered=15.000000 canonical=14.533333 delta=0.466667 tol=0.350000'),,TENURE_SCOPED,Kendrick Perkins,2570,SEASON_MAPPING_MISMATCH,,2017-18,,V2_PARTIAL,FAILED,1610612739
34.5,RuntimeError('minutes mismatch recovered=34.000000 canonical=34.500000 delta=0.500000 tol=0.350000'),,TENURE_SCOPED,Aaron Jackson,1628935,NO_STAGE2_COUNTERPART_FOUND,,2017-18,,V2_PARTIAL,FAILED,1610612745
332.8,,0.19999999999998863,FULL_SEASON_SAFE,Jordan McRae,203895,SEASON_MAPPING_MISMATCH,333.0,2018-19,1,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,RECOVERED,1610612764
71.41666666666667,RuntimeError('minutes mismatch recovered=71.000000 canonical=71.416667 delta=0.416667 tol=0.350000'),,FULL_SEASON_SAFE,Dean Wade,1629731,SEASON_MAPPING_MISMATCH,,2019-20,,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,FAILED,1610612739
987.1666666666666,,0.16666666666662877,FULL_SEASON_SAFE,Kessler Edwards,1630556,SEASON_MAPPING_MISMATCH,987.0,2021-22,1,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,RECOVERED,1610612751
35.083333333333336,"RuntimeError('incomplete tenure query 2023-04-08..2023-04-09: metric_count=89 requests={\'team\': {\'ok\': True, \'attempt\': 3, \'status_code\': 200, \'elapsed_seconds\': 0.191, \'errors\': [""attempt 1: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612751&PlayerId=1630564&FromDate=2023-04-08&ToDate=2023-04-09\')"", ""attempt 2: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612751&PlayerId=1630564&FromDate=2023-04-08&ToDate=2023-04-09\')""]}, \'stat_minutes\': {\'ok\': True, \'attempt\': 3, \'status_code\': 200, \'elapsed_seconds\': 0.414, \'errors\': [""attempt 1: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/stat?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612751&Stat=OffRebounds&FromDate=2023-04-08&ToDate=2023-04-09\')"", ""attempt 2: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/stat?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612751&Stat=OffRebounds&FromDate=2023-04-08&ToDate=2023-04-09\')""]}}')",,TENURE_SCOPED,RaiQuan Gray,1630564,ZERO_MINUTE_OR_TAIL_EXCLUSION,,2022-23,,V2_PARTIAL,FAILED,1610612751
20.783333333333335,"RuntimeError('incomplete tenure query 2023-04-09..2023-04-09: metric_count=89 requests={\'team\': {\'ok\': True, \'attempt\': 4, \'status_code\': 200, \'elapsed_seconds\': 0.202, \'errors\': [""attempt 1: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612757&PlayerId=1628435&FromDate=2023-04-09&ToDate=2023-04-09\')"", ""attempt 2: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612757&PlayerId=1628435&FromDate=2023-04-09&ToDate=2023-04-09\')"", ""attempt 3: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612757&PlayerId=1628435&FromDate=2023-04-09&ToDate=2023-04-09\')""]}, \'stat_minutes\': {\'ok\': True, \'attempt\': 1, \'status_code\': 200, \'elapsed_seconds\': 0.572, \'errors\': []}}')",,TENURE_SCOPED,Chance Comanche,1628435,NO_STAGE2_COUNTERPART_FOUND,,2022-23,,V2_PARTIAL,FAILED,1610612757
40.78333333333333,"RuntimeError('incomplete tenure query 2023-04-08..2023-04-09: metric_count=89 requests={\'team\': {\'ok\': True, \'attempt\': 4, \'status_code\': 200, \'elapsed_seconds\': 0.183, \'errors\': [""attempt 1: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612763&PlayerId=1631367&FromDate=2023-04-08&ToDate=2023-04-09\')"", ""attempt 2: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612763&PlayerId=1631367&FromDate=2023-04-08&ToDate=2023-04-09\')"", ""attempt 3: HTTPError(\'503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-on-off/nba/team?Season=2022-23&SeasonType=Regular+Season&TeamId=1610612763&PlayerId=1631367&FromDate=2023-04-08&ToDate=2023-04-09\')""]}, \'stat_minutes\': {\'ok\': True, \'attempt\': 1, \'status_code\': 200, \'elapsed_seconds\': 0.343, \'errors\': []}}')",,TENURE_SCOPED,Jacob Gilyard,1631367,ZERO_MINUTE_OR_TAIL_EXCLUSION,,2022-23,,V2_PARTIAL,FAILED,1610612763
92.9,,0.09999999999999432,FULL_SEASON_SAFE,JD Davison,1631120,SEASON_MAPPING_MISMATCH,93.0,2024-25,1,PBP_STATS_FULL_SEASON_NATIVE_CORE_CONFIRMED,RECOVERED,1610612738
17.366666666666667,RuntimeError('minutes mismatch recovered=17.000000 canonical=17.366667 delta=0.366667 tol=0.350000'),,TENURE_SCOPED,Isaiah Mobley,1630600,NO_STAGE2_COUNTERPART_FOUND,,2024-25,,V2_PARTIAL,FAILED,1610612755
