season,team_id,player_id,player,prior_classification,repair_class,recommended_action,native_core_metric_count,native_core_on_nonnull,native_core_off_nonnull,retained_corrected_exact_metric_count,same_player_season_stage2_teams,same_player_team_stage2_seasons,target_metadata_json,zero_tail_evidence_json
2002-03,1610612740,2213,Kirk Haston,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":58.15,""player"":""Kirk Haston"",""player_id"":""2213"",""season"":""2002-03"",""team_games_in_tenure"":82,""team_id"":1610612740,""total_team_games"":82}",[]
2003-04,1610612738,344,Dana Barros,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":10.916666666666666,""player"":""Dana Barros"",""player_id"":""344"",""season"":""2003-04"",""team_games_in_tenure"":1,""team_id"":1610612738,""total_team_games"":82}",[]
2004-05,1610612749,2590,Mo Williams,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2005-06;2006-07;2007-08,"{""minutes_on"":2261.7,""player"":""Mo Williams"",""player_id"":""2590"",""season"":""2004-05"",""team_games_in_tenure"":82,""team_id"":1610612749,""total_team_games"":82}",[]
2010-11,1610612747,201234,Trey Johnson,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,1610612761,,"{""minutes_on"":13.4,""player"":""Trey Johnson"",""player_id"":""201234"",""season"":""2010-11"",""team_games_in_tenure"":1,""team_id"":1610612747,""total_team_games"":82}",[]
2012-13,1610612752,2853,Earl Barron,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,1610612764,2009-10,"{""minutes_on"":36.5,""player"":""Earl Barron"",""player_id"":""2853"",""season"":""2012-13"",""team_games_in_tenure"":1,""team_id"":1610612752,""total_team_games"":82}",[]
2013-14,1610612745,2694,Josh Powell,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":19.366666666666667,""player"":""Josh Powell"",""player_id"":""2694"",""season"":""2013-14"",""team_games_in_tenure"":1,""team_id"":1610612745,""total_team_games"":82}",[]
2015-16,1610612739,2563,Dahntay Jones,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":42.35,""player"":""Dahntay Jones"",""player_id"":""2563"",""season"":""2015-16"",""team_games_in_tenure"":1,""team_id"":1610612739,""total_team_games"":82}",[]
2016-17,1610612739,204002,Edy Tavares,TEAM_ID_OR_TENURE_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,1610612737,,"{""minutes_on"":24.0,""player"":""Edy Tavares"",""player_id"":""204002"",""season"":""2016-17"",""team_games_in_tenure"":1,""team_id"":1610612739,""total_team_games"":82}",[]
2016-17,1610612739,2563,Dahntay Jones,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":12.0,""player"":""Dahntay Jones"",""player_id"":""2563"",""season"":""2016-17"",""team_games_in_tenure"":1,""team_id"":1610612739,""total_team_games"":82}",[]
2017-18,1610612739,2570,Kendrick Perkins,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2014-15,"{""minutes_on"":14.533333333333333,""player"":""Kendrick Perkins"",""player_id"":""2570"",""season"":""2017-18"",""team_games_in_tenure"":1,""team_id"":1610612739,""total_team_games"":82}",[]
