season,team_id,player_id,player,legacy_core_metric_count,legacy_core_rows,same_player_season_stage2_team_ids,legacy_core_minute_fields,target_metadata
2002-03,1610612740,2213,Kirk Haston,89,89,,"{""minutes_off"": [3923.0], ""minutes_on"": [58.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2003-04-16"", ""reason"": ""manual_verified_full"", ""start"": ""2002-10-29""}], ""minutes_on"": 58.15, ""player"": ""Kirk Haston"", ""player_id"": ""2213"", ""season"": ""2002-03"", ""seconds_on"": 3489.0, ""team_games_in_tenure"": 82, ""team_id"": 1610612740, ""total_team_games"": 82}"
2003-04,1610612738,344,Dana Barros,89,89,,"{""minutes_off"": [3930.0], ""minutes_on"": [11.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2004-04-14"", ""reason"": ""season_close"", ""start"": ""2004-04-14""}], ""minutes_on"": 10.916666666666666, ""player"": ""Dana Barros"", ""player_id"": ""344"", ""season"": ""2003-04"", ""seconds_on"": 655.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612738, ""total_team_games"": 82}"
2004-05,1610612749,2590,Mo Williams,89,89,,"{""minutes_off"": [1694.0], ""minutes_on"": [2262.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2005-04-20"", ""reason"": ""full_no_inseason_event"", ""start"": ""2004-11-02""}], ""minutes_on"": 2261.7, ""player"": ""Mo Williams"", ""player_id"": ""2590"", ""season"": ""2004-05"", ""seconds_on"": 135702.0, ""team_games_in_tenure"": 82, ""team_id"": 1610612749, ""total_team_games"": 82}"
2010-11,1610612747,201234,Trey Johnson,89,89,1610612761,"{""minutes_off"": [3953.0], ""minutes_on"": [13.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2011-04-13"", ""reason"": ""season_close"", ""start"": ""2011-04-13""}], ""minutes_on"": 13.4, ""player"": ""Trey Johnson"", ""player_id"": ""201234"", ""season"": ""2010-11"", ""seconds_on"": 804.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612747, ""total_team_games"": 82}"
2012-13,1610612752,2853,Earl Barron,89,89,1610612764,"{""minutes_off"": [3910.0], ""minutes_on"": [36.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2013-04-17"", ""reason"": ""season_close"", ""start"": ""2013-04-17""}], ""minutes_on"": 36.5, ""player"": ""Earl Barron"", ""player_id"": ""2853"", ""season"": ""2012-13"", ""seconds_on"": 2190.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612752, ""total_team_games"": 82}"
2013-14,1610612745,2694,Josh Powell,89,89,,"{""minutes_off"": [3947.0], ""minutes_on"": [19.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2014-04-16"", ""reason"": ""season_close"", ""start"": ""2014-04-16""}], ""minutes_on"": 19.366666666666667, ""player"": ""Josh Powell"", ""player_id"": ""2694"", ""season"": ""2013-14"", ""seconds_on"": 1162.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612745, ""total_team_games"": 82}"
2015-16,1610612739,2563,Dahntay Jones,89,89,,"{""minutes_off"": [3929.0], ""minutes_on"": [42.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2016-04-13"", ""reason"": ""season_close"", ""start"": ""2016-04-13""}], ""minutes_on"": 42.35, ""player"": ""Dahntay Jones"", ""player_id"": ""2563"", ""season"": ""2015-16"", ""seconds_on"": 2541.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612739, ""total_team_games"": 82}"
2016-17,1610612739,204002,Edy Tavares,89,89,1610612737,"{""minutes_off"": [3952.0], ""minutes_on"": [24.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2017-04-12"", ""reason"": ""season_close"", ""start"": ""2017-04-12""}], ""minutes_on"": 24.0, ""player"": ""Edy Tavares"", ""player_id"": ""204002"", ""season"": ""2016-17"", ""seconds_on"": 1440.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612739, ""total_team_games"": 82}"
2016-17,1610612739,2563,Dahntay Jones,89,89,,"{""minutes_off"": [3964.0], ""minutes_on"": [12.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2017-04-12"", ""reason"": ""season_close"", ""start"": ""2017-04-12""}], ""minutes_on"": 12.0, ""player"": ""Dahntay Jones"", ""player_id"": ""2563"", ""season"": ""2016-17"", ""seconds_on"": 720.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612739, ""total_team_games"": 82}"
2017-18,1610612739,2570,Kendrick Perkins,89,89,,"{""minutes_off"": [3931.0], ""minutes_on"": [15.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2018-04-11"", ""reason"": ""season_close"", ""start"": ""2018-04-11""}], ""minutes_on"": 14.533333333333333, ""player"": ""Kendrick Perkins"", ""player_id"": ""2570"", ""season"": ""2017-18"", ""seconds_on"": 872.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612739, ""total_team_games"": 82}"
