season,residual_keys,residual_keys_with_missing_games,unique_missing_games,schedule_games,validated_exact_games_available_in_current_schedule
2000-01,356,356,1189,1189,0
2001-02,364,364,1189,1189,0
2002-03,364,364,66,1189,1123
2003-04,312,312,58,1189,1131
2004-05,349,349,68,1230,1162
2005-06,353,352,51,1230,1179
2006-07,4,0,0,1230,1230
2007-08,2,0,0,1230,1230
2008-09,29,28,1,1230,1229
2009-10,48,46,2,1230,1228
2010-11,48,46,2,1230,1228
2011-12,3,0,0,990,990
2012-13,368,368,16,1229,1213
2013-14,23,23,1,1230,1229
2014-15,1,0,0,1230,1230
2015-16,59,54,2,1230,1228
2016-17,28,25,1,1230,1229
2017-18,310,307,23,1230,1207
2018-19,140,130,6,1230,1224
2019-20,213,206,9,1059,1050
2020-21,113,104,4,1080,1076
2021-22,128,120,6,1230,1224
2022-23,247,244,19,1230,1211
2023-24,79,63,3,1230,1227
2024-25,252,239,12,1230,1218
2025-26,409,409,1230,1230,0
