canonical_key,season,player_id,player,team_id,canonical_classification,interval_count,intervals_json,required_team_games,validated_exact_team_games_in_scope,missing_exact_team_games,missing_game_ids,expected_player_games,exact_player_games_current_union,player_game_deficit_current_union,fully_team_game_covered
2005-06|2584|1610612755,2005-06,2584,Willie Green,1610612755,partial,1,"[{""start"":""2006-03-23"",""end"":""2006-04-19"",""reason"":""season_close""}]",15,15,0,,10,10,0,True
2006-07|101189|1610612746,2006-07,101189,James Singleton,1610612746,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,53,52,1,True
2006-07|1607|1610612750,2006-07,1607,Troy Hudson,1610612750,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,34,33,1,True
2006-07|200761|1610612754,2006-07,200761,Shawne Williams,1610612754,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2006-07|2745|1610612745,2006-07,2745,Kirk Snyder,1610612745,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,39,38,1,True
2007-08|201238|1610612737,2007-08,201238,Mario West,1610612737,full_core,1,"[{""start"":""2007-10-30"",""end"":""2008-04-16"",""reason"":""full_no_inseason_event""}]",82,82,0,,64,63,1,True
2007-08|2760|1610612739,2007-08,2760,Anderson Varejao,1610612739,partial,1,"[{""start"":""2007-12-07"",""end"":""2008-04-16"",""reason"":""season_close""}]",62,62,0,,48,48,0,True
2008-09|1904|1610612742,2008-09,1904,Devean George,1610612742,full_core,1,"[{""start"":""2008-10-28"",""end"":""2009-04-15"",""reason"":""full_no_inseason_event""}]",82,82,0,,43,42,1,True
2009-10|101211|1610612766,2009-10,101211,Stephen Graham,1610612766,full_core,1,"[{""start"":""2009-10-27"",""end"":""2010-04-14"",""reason"":""full_no_inseason_event""}]",82,82,0,,70,69,1,True
2009-10|1938|1610612759,2009-10,1938,Manu Ginobili,1610612759,partial,1,"[{""start"":""2010-04-08"",""end"":""2010-04-14"",""reason"":""season_close""}]",4,4,0,,75,75,0,True
2010-11|1899|1610612754,2010-11,1899,James Posey,1610612754,full_core,1,"[{""start"":""2010-10-26"",""end"":""2011-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,49,48,1,True
2010-11|201144|1610612763,2010-11,201144,Mike Conley,1610612763,partial,1,"[{""start"":""2010-11-02"",""end"":""2011-04-13"",""reason"":""season_close""}]",79,79,0,,81,81,0,True
2011-12|201163|1610612743,2011-12,201163,Wilson Chandler,1610612743,partial,1,"[{""start"":""2012-03-18"",""end"":""2012-04-26"",""reason"":""season_close""}]",21,21,0,,8,8,0,True
2011-12|201566|1610612760,2011-12,201566,Russell Westbrook,1610612760,partial,1,"[{""start"":""2012-01-19"",""end"":""2012-04-26"",""reason"":""season_close""}]",51,51,0,,66,66,0,True
2011-12|202715|1610612758,2011-12,202715,Tyler Honeycutt,1610612758,full_core,1,"[{""start"":""2011-12-25"",""end"":""2012-04-26"",""reason"":""full_no_inseason_event""}]",66,66,0,,15,14,1,True
2014-15|200797|1610612758,2014-15,200797,Ryan Hollins,1610612758,full_core,1,"[{""start"":""2014-10-28"",""end"":""2015-04-15"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2015-16|101111|1610612742,2015-16,101111,Charlie Villanueva,1610612742,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,62,61,1,True
2015-16|1626257|1610612742,2015-16,1626257,Salah Mejri,1610612742,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,34,33,1,True
2015-16|2034|1610612743,2015-16,2034,Mike Miller,1610612743,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2015-16|203488|1610612737,2015-16,203488,Mike Muscala,1610612737,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,60,59,1,True
2015-16|203909|1610612745,2015-16,203909,KJ McDaniels,1610612745,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,37,36,1,True
2016-17|1626176|1610612754,2016-17,1626176,Rakeem Christmas,1610612754,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,29,28,1,True
2016-17|1626246|1610612765,2016-17,1626246,Boban Marjanovic,1610612765,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,35,34,1,True
2016-17|2756|1610612752,2016-17,2756,Sasha Vujacic,1610612752,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,42,41,1,True
2017-18|1627816|1610612754,2017-18,1627816,Alex Poythress,1610612754,partial,1,"[{""start"":""2017-12-28"",""end"":""2018-04-11"",""reason"":""season_close""}]",47,47,0,,25,24,1,True
2017-18|202779|1610612765,2017-18,202779,Dwight Buycks,1610612765,partial,1,"[{""start"":""2018-01-12"",""end"":""2018-04-11"",""reason"":""season_close""}]",42,42,0,,29,29,0,True
2017-18|203710|1610612746,2017-18,203710,C.J. Williams,1610612746,partial,1,"[{""start"":""2018-04-09"",""end"":""2018-04-11"",""reason"":""season_close""}]",2,2,0,,38,38,0,True
2018-19|1628410|1610612754,2018-19,1628410,Edmond Sumner,1610612754,partial,1,"[{""start"":""2019-02-11"",""end"":""2019-04-10"",""reason"":""season_close""}]",26,26,0,,23,23,0,True
2018-19|1628449|1610612761,2018-19,1628449,Chris Boucher,1610612761,partial,1,"[{""start"":""2019-02-10"",""end"":""2019-04-10"",""reason"":""season_close""}]",25,25,0,,28,28,0,True
2018-19|1628999|1610612748,2018-19,1628999,Yante Maten,1610612748,partial,1,"[{""start"":""2019-04-07"",""end"":""2019-04-10"",""reason"":""season_close""}]",3,3,0,,2,2,0,True
2018-19|1629019|1610612752,2018-19,1629019,Allonzo Trier,1610612752,partial,1,"[{""start"":""2018-12-13"",""end"":""2019-04-10"",""reason"":""season_close""}]",53,53,0,,64,63,1,True
2018-19|1629057|1610612738,2018-19,1629057,Robert Williams III,1610612738,full_core,1,"[{""start"":""2018-10-16"",""end"":""2019-04-10"",""reason"":""full_no_inseason_event""}]",82,82,0,,32,31,1,True
2018-19|1629109|1610612745,2018-19,1629109,Gary Clark,1610612745,partial,1,"[{""start"":""2018-12-06"",""end"":""2019-04-10"",""reason"":""season_close""}]",59,59,0,,51,51,0,True
2018-19|1629121|1610612737,2018-19,1629121,Jaylen Adams,1610612737,partial,1,"[{""start"":""2019-02-20"",""end"":""2019-04-10"",""reason"":""season_close""}]",24,24,0,,34,34,0,True
2018-19|1629126|1610612760,2018-19,1629126,Deonte Burton,1610612760,partial,1,"[{""start"":""2019-03-10"",""end"":""2019-04-10"",""reason"":""season_close""}]",16,16,0,,32,32,0,True
2018-19|1629130|1610612748,2018-19,1629130,Duncan Robinson,1610612748,partial,1,"[{""start"":""2019-04-09"",""end"":""2019-04-10"",""reason"":""season_close""}]",2,2,0,,15,15,0,True
2018-19|203895|1610612764,2018-19,203895,Jordan McRae,1610612764,partial,1,"[{""start"":""2019-04-09"",""end"":""2019-04-10"",""reason"":""season_close""}]",1,1,0,,27,26,1,True
2019-20|1627814|1610612744,2019-20,1627814,Damion Lee,1610612744,partial,1,"[{""start"":""2020-01-15"",""end"":""2020-08-14"",""reason"":""season_close""}]",23,23,0,,49,49,0,True
2019-20|1629065|1610612744,2019-20,1629065,Ky Bowman,1610612744,partial,1,"[{""start"":""2020-02-07"",""end"":""2020-08-14"",""reason"":""season_close""}]",13,13,0,,45,45,0,True
2019-20|1629164|1610612737,2019-20,1629164,Brandon Goodwin,1610612737,partial,1,"[{""start"":""2020-02-12"",""end"":""2020-08-14"",""reason"":""season_close""}]",12,12,0,,34,34,0,True
2019-20|1629598|1610612745,2019-20,1629598,Chris Clemons,1610612745,partial,1,"[{""start"":""2019-12-27"",""end"":""2020-08-14"",""reason"":""season_close""}]",41,41,0,,33,33,0,True
2019-20|1629683|1610612759,2019-20,1629683,Quinndary Weatherspoon,1610612759,full_core,1,"[{""start"":""2019-10-22"",""end"":""2020-08-14"",""reason"":""full_no_inseason_event""}]",71,71,0,,11,10,1,True
2019-20|1629731|1610612739,2019-20,1629731,Dean Wade,1610612739,partial,1,"[{""start"":""2020-06-29"",""end"":""2020-08-14"",""reason"":""season_close""}]",0,0,0,,12,12,0,True
2019-20|203658|1610612755,2019-20,203658,Norvel Pelle,1610612755,partial,1,"[{""start"":""2020-02-07"",""end"":""2020-08-14"",""reason"":""season_close""}]",21,21,0,,24,24,0,True
2020-21|1629139|1610612761,2020-21,1629139,Yuta Watanabe,1610612761,partial,1,"[{""start"":""2021-04-18"",""end"":""2021-05-16"",""reason"":""season_close""}]",15,15,0,,50,50,0,True
2020-21|1629308|1610612744,2020-21,1629308,Juan Toscano-Anderson,1610612744,partial,1,"[{""start"":""2021-05-13"",""end"":""2021-05-16"",""reason"":""season_close""}]",2,2,0,,53,53,0,True
2020-21|1629603|1610612749,2020-21,1629603,Mamadi Diakite,1610612749,partial,1,"[{""start"":""2021-04-21"",""end"":""2021-05-16"",""reason"":""season_close""}]",15,15,0,,14,14,0,True
2020-21|1629607|1610612752,2020-21,1629607,Jared Harper,1610612752,partial,1,"[{""start"":""2021-04-23"",""end"":""2021-05-16"",""reason"":""out_depart""}]",12,12,0,,8,8,0,True
2020-21|1629650|1610612760,2020-21,1629650,Moses Brown,1610612760,partial,1,"[{""start"":""2021-03-28"",""end"":""2021-05-16"",""reason"":""season_close""}]",27,27,0,,43,43,0,True
2020-21|1629712|1610612740,2020-21,1629712,Didi Louzada,1610612740,partial,1,"[{""start"":""2021-04-27"",""end"":""2021-05-16"",""reason"":""season_close""}]",11,11,0,,3,3,0,True
2020-21|1630194|1610612755,2020-21,1630194,Paul Reed,1610612755,partial,1,"[{""start"":""2021-03-26"",""end"":""2021-05-16"",""reason"":""season_close""}]",27,27,0,,26,26,0,True
2020-21|1630205|1610612739,2020-21,1630205,Lamar Stevens,1610612739,partial,1,"[{""start"":""2021-04-14"",""end"":""2021-05-16"",""reason"":""season_close""}]",19,19,0,,40,40,0,True
2020-21|1630230|1610612740,2020-21,1630230,Naji Marshall,1610612740,partial,1,"[{""start"":""2021-05-07"",""end"":""2021-05-16"",""reason"":""season_close""}]",6,6,0,,32,32,0,True
2021-22|1629656|1610612752,2021-22,1629656,Quentin Grimes,1610612752,full_core,1,"[{""start"":""2021-10-19"",""end"":""2022-04-10"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2021-22|1629681|1610612763,2021-22,1629681,Killian Tillie,1610612763,partial,1,"[{""start"":""2022-01-01"",""end"":""2022-04-10"",""reason"":""season_close""}]",45,45,0,,36,36,0,True
2021-22|1629726|1610612745,2021-22,1629726,Garrison Mathews,1610612745,partial,1,"[{""start"":""2021-12-18"",""end"":""2022-04-10"",""reason"":""season_close""}]",53,53,0,,65,65,0,True
2021-22|1630227|1610612745,2021-22,1630227,Daishen Nix,1610612745,partial,1,"[{""start"":""2022-02-14"",""end"":""2022-04-10"",""reason"":""season_close""}]",27,27,0,,24,24,0,True
2021-22|1630556|1610612751,2021-22,1630556,Kessler Edwards,1610612751,partial,1,"[{""start"":""2022-04-10"",""end"":""2022-04-10"",""reason"":""season_close""}]",1,1,0,,48,47,1,True
2021-22|1630570|1610612757,2021-22,1630570,Trendon Watford,1610612757,partial,1,"[{""start"":""2022-02-21"",""end"":""2022-04-10"",""reason"":""season_close""}]",23,23,0,,48,48,0,True
2021-22|1630613|1610612754,2021-22,1630613,Duane Washington Jr.,1610612754,partial,1,"[{""start"":""2022-04-07"",""end"":""2022-04-10"",""reason"":""season_close""}]",2,2,0,,48,47,1,True
2021-22|1630631|1610612740,2021-22,1630631,Jose Alvarado,1610612740,partial,1,"[{""start"":""2022-03-28"",""end"":""2022-04-10"",""reason"":""season_close""}]",7,7,0,,54,54,0,True
2022-23|1629678|1610612753,2022-23,1629678,Admiral Schofield,1610612753,partial,1,"[{""start"":""2023-02-21"",""end"":""2023-04-09"",""reason"":""season_close""}]",23,23,0,,37,37,0,True
2022-23|1630688|1610612756,2022-23,1630688,Ish Wainright,1610612756,partial,1,"[{""start"":""2023-02-24"",""end"":""2023-04-09"",""reason"":""season_close""}]",22,22,0,,60,59,1,True
2022-23|1631254|1610612763,2022-23,1631254,Kenneth Lofton Jr.,1610612763,partial,1,"[{""start"":""2023-04-08"",""end"":""2023-04-09"",""reason"":""season_close""}]",1,1,0,,24,23,1,True
2023-24|1629674|1610612738,2023-24,1629674,Neemias Queta,1610612738,partial,1,"[{""start"":""2024-04-08"",""end"":""2024-04-14"",""reason"":""season_close""}]",4,4,0,,28,28,0,True
2023-24|1630215|1610612764,2023-24,1630215,Jared Butler,1610612764,partial,1,"[{""start"":""2024-04-05"",""end"":""2024-04-14"",""reason"":""season_close""}]",5,5,0,,40,40,0,True
