canonical_key,season,player_id,player,team_id,canonical_classification,interval_count,intervals_json,required_team_games,validated_exact_team_games_in_scope,missing_exact_team_games,missing_game_ids,expected_player_games,exact_player_games_current_union,player_game_deficit_current_union,fully_team_game_covered
2006-07|101189|1610612746,2006-07,101189,James Singleton,1610612746,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,53,52,1,True
2006-07|1607|1610612750,2006-07,1607,Troy Hudson,1610612750,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,34,33,1,True
2006-07|200761|1610612754,2006-07,200761,Shawne Williams,1610612754,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2006-07|2745|1610612745,2006-07,2745,Kirk Snyder,1610612745,full_core,1,"[{""start"":""2006-10-31"",""end"":""2007-04-18"",""reason"":""full_no_inseason_event""}]",82,82,0,,39,38,1,True
2007-08|201238|1610612737,2007-08,201238,Mario West,1610612737,full_core,1,"[{""start"":""2007-10-30"",""end"":""2008-04-16"",""reason"":""full_no_inseason_event""}]",82,82,0,,64,63,1,True
2008-09|1904|1610612742,2008-09,1904,Devean George,1610612742,full_core,1,"[{""start"":""2008-10-28"",""end"":""2009-04-15"",""reason"":""full_no_inseason_event""}]",82,82,0,,43,42,1,True
2009-10|101211|1610612766,2009-10,101211,Stephen Graham,1610612766,full_core,1,"[{""start"":""2009-10-27"",""end"":""2010-04-14"",""reason"":""full_no_inseason_event""}]",82,82,0,,70,69,1,True
2010-11|1899|1610612754,2010-11,1899,James Posey,1610612754,full_core,1,"[{""start"":""2010-10-26"",""end"":""2011-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,49,48,1,True
2011-12|202715|1610612758,2011-12,202715,Tyler Honeycutt,1610612758,full_core,1,"[{""start"":""2011-12-25"",""end"":""2012-04-26"",""reason"":""full_no_inseason_event""}]",66,66,0,,15,14,1,True
2014-15|200797|1610612758,2014-15,200797,Ryan Hollins,1610612758,full_core,1,"[{""start"":""2014-10-28"",""end"":""2015-04-15"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2015-16|101111|1610612742,2015-16,101111,Charlie Villanueva,1610612742,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,62,61,1,True
2015-16|1626257|1610612742,2015-16,1626257,Salah Mejri,1610612742,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,34,33,1,True
2015-16|2034|1610612743,2015-16,2034,Mike Miller,1610612743,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2015-16|203488|1610612737,2015-16,203488,Mike Muscala,1610612737,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,60,59,1,True
2015-16|203909|1610612745,2015-16,203909,KJ McDaniels,1610612745,full_core,1,"[{""start"":""2015-10-27"",""end"":""2016-04-13"",""reason"":""full_no_inseason_event""}]",82,82,0,,37,36,1,True
2016-17|1626176|1610612754,2016-17,1626176,Rakeem Christmas,1610612754,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,29,28,1,True
2016-17|1626246|1610612765,2016-17,1626246,Boban Marjanovic,1610612765,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,35,34,1,True
2016-17|2756|1610612752,2016-17,2756,Sasha Vujacic,1610612752,full_core,1,"[{""start"":""2016-10-25"",""end"":""2017-04-12"",""reason"":""full_no_inseason_event""}]",82,82,0,,42,41,1,True
2017-18|1627816|1610612754,2017-18,1627816,Alex Poythress,1610612754,partial,1,"[{""start"":""2017-12-28"",""end"":""2018-04-11"",""reason"":""season_close""}]",47,47,0,,25,24,1,True
2018-19|1629019|1610612752,2018-19,1629019,Allonzo Trier,1610612752,partial,1,"[{""start"":""2018-12-13"",""end"":""2019-04-10"",""reason"":""season_close""}]",53,53,0,,64,63,1,True
2018-19|1629057|1610612738,2018-19,1629057,Robert Williams III,1610612738,full_core,1,"[{""start"":""2018-10-16"",""end"":""2019-04-10"",""reason"":""full_no_inseason_event""}]",82,82,0,,32,31,1,True
2018-19|203895|1610612764,2018-19,203895,Jordan McRae,1610612764,partial,1,"[{""start"":""2019-04-09"",""end"":""2019-04-10"",""reason"":""season_close""}]",1,1,0,,27,26,1,True
2019-20|1629683|1610612759,2019-20,1629683,Quinndary Weatherspoon,1610612759,full_core,1,"[{""start"":""2019-10-22"",""end"":""2020-08-14"",""reason"":""full_no_inseason_event""}]",71,71,0,,11,10,1,True
2021-22|1629656|1610612752,2021-22,1629656,Quentin Grimes,1610612752,full_core,1,"[{""start"":""2021-10-19"",""end"":""2022-04-10"",""reason"":""full_no_inseason_event""}]",82,82,0,,46,45,1,True
2021-22|1630556|1610612751,2021-22,1630556,Kessler Edwards,1610612751,partial,1,"[{""start"":""2022-04-10"",""end"":""2022-04-10"",""reason"":""season_close""}]",1,1,0,,48,47,1,True
2021-22|1630613|1610612754,2021-22,1630613,Duane Washington Jr.,1610612754,partial,1,"[{""start"":""2022-04-07"",""end"":""2022-04-10"",""reason"":""season_close""}]",2,2,0,,48,47,1,True
2022-23|1630688|1610612756,2022-23,1630688,Ish Wainright,1610612756,partial,1,"[{""start"":""2023-02-24"",""end"":""2023-04-09"",""reason"":""season_close""}]",22,22,0,,60,59,1,True
2022-23|1631254|1610612763,2022-23,1631254,Kenneth Lofton Jr.,1610612763,partial,1,"[{""start"":""2023-04-08"",""end"":""2023-04-09"",""reason"":""season_close""}]",1,1,0,,24,23,1,True
2023-24|1630322|1610612760,2023-24,1630322,Lindy Waters III,1610612760,partial,1,"[{""start"":""2024-02-09"",""end"":""2024-04-14"",""reason"":""season_close""}]",31,31,0,,38,37,1,True
2023-24|1630543|1610612754,2023-24,1630543,Isaiah Jackson,1610612754,full_core,1,"[{""start"":""2023-10-24"",""end"":""2024-04-14"",""reason"":""full_no_inseason_event""}]",82,82,0,,59,58,1,True
2024-25|1630551|1610612764,2024-25,1630551,Justin Champagnie,1610612764,partial,1,"[{""start"":""2025-03-03"",""end"":""2025-04-13"",""reason"":""season_close""}]",23,23,0,,62,61,1,True
2024-25|1642419|1610612761,2024-25,1642419,Jamison Battle,1610612761,partial,1,"[{""start"":""2025-02-07"",""end"":""2025-04-13"",""reason"":""season_close""}]",31,31,0,,59,58,1,True
