season,game_id,game_date,home_team_id,away_team_id,affected_residual_keys,affected_team_ids,affected_full_core_keys,affected_partial_keys,coverage_reason
2000-01,20000001,2000-10-31,1610612752,1610612755,19,2,19,0,edge_season_no_validated_exact_game_union
2000-01,20000002,2000-10-31,1610612751,1610612739,25,2,25,0,edge_season_no_validated_exact_game_union
2000-01,20000003,2000-10-31,1610612753,1610612764,20,2,20,0,edge_season_no_validated_exact_game_union
2000-01,20000004,2000-10-31,1610612737,1610612766,22,2,22,0,edge_season_no_validated_exact_game_union
2000-01,20000005,2000-10-31,1610612761,1610612765,18,2,18,0,edge_season_no_validated_exact_game_union
2000-01,20000006,2000-10-31,1610612741,1610612758,27,2,27,0,edge_season_no_validated_exact_game_union
2000-01,20000007,2000-10-31,1610612742,1610612749,24,2,24,0,edge_season_no_validated_exact_game_union
2000-01,20000008,2000-10-31,1610612745,1610612750,26,2,26,0,edge_season_no_validated_exact_game_union
2000-01,20000009,2000-10-31,1610612759,1610612754,30,2,30,0,edge_season_no_validated_exact_game_union
2000-01,20000010,2000-10-31,1610612762,1610612746,27,2,27,0,edge_season_no_validated_exact_game_union
2000-01,20000011,2000-10-31,1610612744,1610612756,24,2,24,0,edge_season_no_validated_exact_game_union
2000-01,20000012,2000-10-31,1610612757,1610612747,29,2,29,0,edge_season_no_validated_exact_game_union
2000-01,20000013,2000-10-31,1610612763,1610612760,26,2,26,0,edge_season_no_validated_exact_game_union
2000-01,20000014,2000-11-01,1610612738,1610612765,25,2,25,0,edge_season_no_validated_exact_game_union
2000-01,20000015,2000-11-01,1610612755,1610612761,15,2,15,0,edge_season_no_validated_exact_game_union
2000-01,20000016,2000-11-01,1610612748,1610612753,27,2,27,0,edge_season_no_validated_exact_game_union
2000-01,20000017,2000-11-01,1610612766,1610612764,20,2,20,0,edge_season_no_validated_exact_game_union
2000-01,20000018,2000-11-01,1610612739,1610612758,25,2,25,0,edge_season_no_validated_exact_game_union
2000-01,20000019,2000-11-01,1610612747,1610612762,29,2,29,0,edge_season_no_validated_exact_game_union
2000-01,20000020,2000-11-01,1610612760,1610612743,24,2,24,0,edge_season_no_validated_exact_game_union
