canonical_key,season,player_id,team_id,canonical_classification,evidence_classes,source_count,game_id_count,exact_accumulator_candidate,candidate_conflict,has_any_retained_evidence
2000-01|1000|1610612745,2000-01,1000,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1005|1610612745,2000-01,1005,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1023|1610612760,2000-01,1023,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1032|1610612749,2000-01,1032,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1035|1610612759,2000-01,1035,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1051|1610612750,2000-01,1051,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|105|1610612748,2000-01,105,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1073|1610612750,2000-01,1073,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1074|1610612737,2000-01,1074,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1088|1610612765,2000-01,1088,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|109|1610612747,2000-01,109,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1112|1610612765,2000-01,1112,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1114|1610612759,2000-01,1114,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|111|1610612750,2000-01,111,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1134|1610612763,2000-01,1134,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|120|1610612757,2000-01,120,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|121|1610612760,2000-01,121,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|123|1610612743,2000-01,123,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|124|1610612758,2000-01,124,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|128|1610612762,2000-01,128,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|133|1610612766,2000-01,133,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|136|1610612766,2000-01,136,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1425|1610612751,2000-01,1425,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1434|1610612741,2000-01,1434,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1444|1610612758,2000-01,1444,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|146|1610612765,2000-01,146,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1477|1610612748,2000-01,1477,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|147|1610612754,2000-01,147,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1495|1610612759,2000-01,1495,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1496|1610612751,2000-01,1496,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1497|1610612750,2000-01,1497,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1498|1610612759,2000-01,1498,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1499|1610612738,2000-01,1499,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1500|1610612741,2000-01,1500,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1501|1610612749,2000-01,1501,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1502|1610612744,2000-01,1502,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1503|1610612753,2000-01,1503,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1504|1610612744,2000-01,1504,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1505|1610612743,2000-01,1505,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1506|1610612754,2000-01,1506,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1507|1610612759,2000-01,1507,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1508|1610612745,2000-01,1508,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1509|1610612745,2000-01,1509,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1513|1610612758,2000-01,1513,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1517|1610612758,2000-01,1517,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1521|1610612762,2000-01,1521,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1531|1610612744,2000-01,1531,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1536|1610612751,2000-01,1536,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1538|1610612739,2000-01,1538,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1541|1610612761,2000-01,1541,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1544|1610612737,2000-01,1544,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1548|1610612738,2000-01,1548,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1559|1610612738,2000-01,1559,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1565|1610612761,2000-01,1565,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|15|1610612746,2000-01,15,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1607|1610612753,2000-01,1607,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1630|1610612765,2000-01,1630,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|165|1610612745,2000-01,165,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|166|1610612747,2000-01,166,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|168|1610612744,2000-01,168,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1709|1610612746,2000-01,1709,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1710|1610612763,2000-01,1710,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1711|1610612743,2000-01,1711,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1712|1610612744,2000-01,1712,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
