source,origin,rows_seen,mapped_residual_keys,evidence_classes
run_31637129009__artifact_9157402941__treb-counter-audit-2021-L02-31637129009.zip::COUNTER_2021-L02.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157403935__treb-counter-audit-2022-H04-31637129009.zip::COUNTER_2022-H04.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157404652__treb-counter-audit-2021-L01-31637129009.zip::COUNTER_2021-L01.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157405285__treb-counter-audit-2008-L01-31637129009.zip::COUNTER_2008-L01.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157405605__treb-counter-audit-2018-L02-31637129009.zip::COUNTER_2018-L02.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157405693__treb-counter-audit-2022-L03-31637129009.zip::COUNTER_2022-L03.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157406493__treb-counter-audit-2022-L01-31637129009.zip::COUNTER_2022-L01.json,actions_artifact,24,0,"{""diagnostic_or_control"": 24}"
run_31637129009__artifact_9157406827__treb-counter-audit-2017-L01-31637129009.zip::COUNTER_2017-L01.json,actions_artifact,10,0,"{""diagnostic_or_control"": 10}"
run_31637129009__artifact_9157407364__treb-counter-audit-2017-L06-31637129009.zip::COUNTER_2017-L06.json,actions_artifact,22,0,"{""diagnostic_or_control"": 22}"
run_31637129009__artifact_9157407447__treb-counter-audit-2019-L01-31637129009.zip::COUNTER_2019-L01.json,actions_artifact,22,0,"{""diagnostic_or_control"": 22}"
run_31637129009__artifact_9157407526__treb-counter-audit-2017-L03-31637129009.zip::COUNTER_2017-L03.json,actions_artifact,34,0,"{""diagnostic_or_control"": 34}"
