canonical_key,season,player_id,team_id,player,team_abbr,safe_lock_segment_rows,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_value_valid
2005-06|2668|1610612745,2005-06,2668,1610612745,Josh Davis,HOU,1,0,0,0,0,25,68,33,59,1,5759,2,,0.5027027027027027,,False
2007-08|201186|1610612744,2007-08,201186,1610612744,Stephane Lasme,GSW,1,0,0,0,0,91,212,100,267,3,20157,7,,0.45223880597014926,,False
2008-09|201621|1610612752,2008-09,201621,1610612752,Joe Crawford,NYK,1,0,0,0,0,67,195,83,202,0,17280,6,,0.4789762340036563,,False
2008-09|201235|1610612752,2008-09,201235,1610612752,Courtney Sims,NYK,1,0,0,0,0,67,193,68,209,0,17580,6,,0.48417132216014896,,False
2008-09|200798|1610612752,2008-09,200798,1610612752,Cheikh Samb,NYK,1,0,0,0,0,56,155,69,176,0,14700,5,,0.46271929824561403,,False
2009-10|201191|1610612746,2009-10,201191,1610612746,JamesOn Curry,LAC,1,0,0,0,0,29,73,24,73,3,5757,2,,0.5125628140703518,,False
2013-14|200758|1610612741,2013-14,200758,1610612741,Ronnie Brewer,CHI,1,0,0,0,0,55,172,55,167,126,14574,5,,0.5055679287305123,,False
2013-14|200811|1610612741,2013-14,200811,1610612741,Lou Amundson,CHI,1,0,0,0,0,43,139,43,137,64,11756,4,,0.5027624309392266,,False
2013-14|203146|1610612746,2013-14,203146,1610612746,Maalik Wayns,LAC,1,0,0,0,0,449,1256,502,1242,0,104580,36,,0.4943461873006669,,False
2017-18|1628513|1610612762,2017-18,1628513,1610612762,Naz Mitrou-Long,UTA,2,0,0,0,0,200,666,178,660,31,51809,18,,0.5082159624413145,,False
2018-19|1627753|1610612745,2018-19,1627753,1610612745,Zhou Qi,HOU,1,0,0,0,0,384,929,395,1021,57,84063,29,,0.48112861854159034,,False
2021-22|1630610|1610612754,2021-22,1630610,1610612754,DeJon Jarreau,IND,1,0,0,0,0,394,1109,359,1057,51,87249,30,,0.5149023638232272,,False
2021-22|1629958|1610612754,2021-22,1629958,1610612754,Ahmad Caver,IND,1,0,0,0,0,58,164,59,173,50,14350,5,,0.4889867841409692,,False
