season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,87,1610612737,Dikembe Mutombo,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,525,1277,512,1114,235,546,243,629,102975,52545,54,0.5256709451575262,0.4724742891712039,5.319665598632234,1,0.5256709451575262,0.4724742891712039,5.319665598632234,0.0,0.0,0.0,0.0,False
2000-01,1510,1610612737,Brevin Knight,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,407,929,416,981,343,748,355,747,82091,65389,51,0.4888401024515185,0.49749202006383947,-0.8651917612320981,1,0.4888401024515185,0.49749202006383947,-0.8651917612320981,0.0,0.0,0.0,0.0,False
2000-01,1728,1610612737,Roshown McLeod,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,281,639,243,598,479,1184,512,1145,54192,101328,54,0.5224304372515616,0.5009036144578313,2.1526822793730305,1,0.5224304372515616,0.5009036144578313,2.1526822793730305,0.0,0.0,0.0,0.0,False
2000-01,1737,1610612737,Nazr Mohammed,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,245,487,204,503,183,382,213,471,43018,38222,28,0.5086865879082696,0.45236188951160927,5.632469839666032,1,0.5086865879082696,0.45236188951160927,5.632469839666032,0.0,0.0,0.0,0.0,False
2000-01,1683,1610612737,Larry Robinson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,177,415,176,409,302,715,287,675,37827,60093,34,0.5029736618521665,0.5138959070237493,-1.09222451715828,2,0.5029736618521665,0.5138959070237493,-1.09222451715828,0.0,0.0,0.0,0.0,False
2000-01,389,1610612737,Toni Kukoc,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,178,391,185,408,250,478,232,566,37084,44156,28,0.48967297762478484,0.47706422018348627,1.260875744129858,1,0.48967297762478484,0.47706422018348627,1.260875744129858,0.0,0.0,0.0,0.0,False
2000-01,754,1610612737,Jim Jackson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,157,355,145,364,281,660,256,625,33031,56249,31,0.5014691478942214,0.5164654226125137,-1.4996274718292346,1,0.5014691478942214,0.5164654226125137,-1.4996274718292346,0.0,0.0,0.0,0.0,False
2000-01,1533,1610612737,Anthony Johnson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,76,168,82,197,362,847,319,792,16736,72544,31,0.4665391969407266,0.5211206896551724,-5.458149271444585,1,0.4665391969407266,0.5211206896551724,-5.458149271444585,0.0,0.0,0.0,0.0,False
2000-01,380,1610612737,Tony Smith,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,22,47,21,45,64,152,78,148,4658,12622,6,0.5111111111111111,0.48868778280542985,2.242332830568122,1,0.5111111111111111,0.48868778280542985,2.242332830568122,0.0,0.0,0.0,0.0,False
2000-01,2143,1610612737,Pepe Sanchez,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,6,20,7,25,138,288,139,322,2044,26756,10,0.4482758620689655,0.48027057497181513,-3.199471290284961,1,0.4482758620689655,0.48027057497181513,-3.199471290284961,0.0,0.0,0.0,0.0,False
