year,season,branch,status,target_rows,accepted_excluded_games,exceptions,unmatched_rebound_rows,code_commit
2000,2000-01,treb-final-safe-lock-2000,COMPLETE,143,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2001,2001-02,treb-final-safe-lock-2001,COMPLETE,111,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2002,2002-03,treb-final-safe-lock-2002,COMPLETE,95,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2003,2003-04,treb-final-safe-lock-2003,COMPLETE,212,0,0,0,1b5b438387fdc914aa4712c37f305900f3f59e03
2004,2004-05,treb-final-safe-lock-2004,COMPLETE,189,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2005,2005-06,treb-final-safe-lock-2005,COMPLETE,154,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2006,2006-07,treb-final-safe-lock-2006,COMPLETE,102,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2007,2007-08,treb-final-safe-lock-2007,COMPLETE,190,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2008,2008-09,treb-final-safe-lock-2008,COMPLETE,180,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2009,2009-10,treb-final-safe-lock-2009,COMPLETE,182,1,0,0,2f930c27ee596536e610129bc80f2b6106ec0ba4
2010,2010-11,treb-final-safe-lock-2010,COMPLETE,216,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2011,2011-12,treb-final-safe-lock-2011,COMPLETE,158,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2012,2012-13,treb-final-safe-lock-2012,COMPLETE,159,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2013,2013-14,treb-final-safe-lock-2013,COMPLETE,196,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2014,2014-15,treb-final-safe-lock-2014,COMPLETE,246,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2015,2015-16,treb-final-safe-lock-2015,COMPLETE,158,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2016,2016-17,treb-final-safe-lock-2016,COMPLETE,178,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2017,2017-18,treb-final-safe-lock-2017,COMPLETE,215,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2018,2018-19,treb-final-safe-lock-2018,COMPLETE,266,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2019,2019-20,treb-final-safe-lock-2019,COMPLETE,204,3,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2020,2020-21,treb-final-safe-lock-2020,COMPLETE,245,2,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2021,2021-22,treb-final-safe-lock-2021,COMPLETE,382,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2022,2022-23,treb-final-safe-lock-2022,COMPLETE,234,6,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
2023,2023-24,treb-final-safe-lock-2023,COMPLETE,262,2,0,0,d0e3d118219d99b1005e6dfea942afe645ff2042
2024,2024-25,treb-final-safe-lock-2024,COMPLETE,255,1,0,0,485871e17269d03cb0085e3c7fee80e11d6210cd
