season,source_type,ref,file,rows
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-000,team_game_treb,188
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-000,player_game_treb_on,1898
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-001,team_game_treb,186
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-001,player_game_treb_on,1886
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-002,team_game_treb,196
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-002,player_game_treb_on,2006
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-003,team_game_treb,186
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-003,player_game_treb_on,1861
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-004,team_game_treb,190
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-004,player_game_treb_on,1929
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-005,team_game_treb,196
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-005,player_game_treb_on,1928
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-006,team_game_treb,186
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-006,player_game_treb_on,1831
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-007,team_game_treb,190
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-007,player_game_treb_on,1915
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-008,team_game_treb,186
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-008,player_game_treb_on,1844
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-009,team_game_treb,186
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-009,player_game_treb_on,1893
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-010,team_game_treb,192
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-010,player_game_treb_on,1934
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-011,team_game_treb,164
2002-03,historical_exact_batch,refs/remotes/origin/treb-game-facts-2002-batch-011,player_game_treb_on,1675
2003-04,historical_exact_batch,refs/remotes/origin/treb-game-facts-2003-batch-000,team_game_treb,192
2003-04,historical_exact_batch,refs/remotes/origin/treb-game-facts-2003-batch-000,player_game_treb_on,1957
