season,canonical_tenures,full_core_tenures,partial_tenures,expected_partial_segments,locked_partial_segments
2000-01,490,356,134,143,143
2001-02,470,364,106,111,111
2002-03,456,364,92,95,95
2003-04,516,319,197,212,212
2004-05,526,349,177,189,189
2005-06,512,365,147,154,154
2006-07,487,388,99,102,102
2007-08,527,346,181,190,190
2008-09,515,345,170,180,180
2009-10,512,338,174,182,182
2010-11,542,334,208,216,216
2011-12,515,369,146,158,158
2012-13,523,368,155,159,159
2013-14,548,364,184,196,196
2014-15,575,348,227,246,246
2015-16,528,385,143,158,158
2016-17,542,377,165,178,178
2017-18,605,403,202,215,215
2018-19,622,367,255,266,266
2019-20,591,402,189,204,204
2020-21,626,394,232,245,245
2021-22,715,377,338,382,382
2022-23,609,391,218,234,234
2023-24,657,413,244,262,262
2024-25,654,412,242,255,255
2025-26,661,409,252,267,267
