season,batch_index,artifact,status,games_requested,successful_games,failed_games,total_common_games,start_index,stop_index
2006-07,0,treb-fanout-2006-0,REPAIR_REQUIRED,100,95,5,1230,0,100
2006-07,1,treb-fanout-2006-1,REPAIR_REQUIRED,100,94,6,1230,100,200
2006-07,2,treb-fanout-2006-2,REPAIR_REQUIRED,100,95,5,1230,200,300
2006-07,3,treb-fanout-2006-3,REPAIR_REQUIRED,100,96,4,1230,300,400
2006-07,4,treb-fanout-2006-4,REPAIR_REQUIRED,100,94,6,1230,400,500
2006-07,5,treb-fanout-2006-5,REPAIR_REQUIRED,100,96,4,1230,500,600
2006-07,6,treb-fanout-2006-6,REPAIR_REQUIRED,100,96,4,1230,600,700
2006-07,7,treb-fanout-2006-7,REPAIR_REQUIRED,100,96,4,1230,700,800
2006-07,8,treb-fanout-2006-8,REPAIR_REQUIRED,100,93,7,1230,800,900
2006-07,9,treb-fanout-2006-9,REPAIR_REQUIRED,100,95,5,1230,900,1000
2006-07,10,treb-fanout-2006-10,REPAIR_REQUIRED,100,94,6,1230,1000,1100
2006-07,11,treb-fanout-2006-11,REPAIR_REQUIRED,100,96,4,1230,1100,1200
2006-07,12,treb-fanout-2006-12,REPAIR_REQUIRED,30,29,1,1230,1200,1230
2007-08,0,treb-fanout-2007-0,REPAIR_REQUIRED,100,98,2,1230,0,100
2007-08,1,treb-fanout-2007-1,REPAIR_REQUIRED,100,97,3,1230,100,200
2007-08,2,treb-fanout-2007-2,REPAIR_REQUIRED,100,97,3,1230,200,300
2007-08,3,treb-fanout-2007-3,REPAIR_REQUIRED,100,93,7,1230,300,400
2007-08,4,treb-fanout-2007-4,REPAIR_REQUIRED,100,95,5,1230,400,500
2007-08,5,treb-fanout-2007-5,REPAIR_REQUIRED,100,95,5,1230,500,600
2007-08,6,treb-fanout-2007-6,REPAIR_REQUIRED,100,97,3,1230,600,700
2007-08,7,treb-fanout-2007-7,REPAIR_REQUIRED,100,94,6,1230,700,800
2007-08,8,treb-fanout-2007-8,REPAIR_REQUIRED,100,94,6,1230,800,900
2007-08,9,treb-fanout-2007-9,REPAIR_REQUIRED,100,98,2,1230,900,1000
2007-08,10,treb-fanout-2007-10,REPAIR_REQUIRED,100,97,3,1230,1000,1100
2007-08,11,treb-fanout-2007-11,REPAIR_REQUIRED,100,96,4,1230,1100,1200
