game_id,pbp_index,classification,max_possible_metric_error_pp,materiality_threshold_pp,evidence_note,feature_cache_engine,feature_cache_production_residual,feature_cache_nba_backed_control
21700032,4988,evidence_recheck_required,,0.01,expected durable invariance node was not recovered; cache description: Mavericks Rebound,production_rebound_v9,True,False
21700042,7322,materiality_pending,,0.01,V13 rejected apparent NBA event 180 because it is already assigned to PBP row 7324; event reuse forbidden; cache description: Johnson REBOUND,production_rebound_v9,True,False
21700494,7412,materiality_pending,,0.01,cache description: Cavaliers Rebound,production_rebound_v9,True,False
21800689,1396,materiality_pending,,0.01,cache description: TIMBERWOLVES Rebound,production_rebound_v9,True,False
21800689,1398,materiality_pending,,0.01,cache description: Suns Rebound,production_rebound_v9,True,False
22101023,256,materiality_pending,,0.01,cache description: THUNDER Rebound,production_rebound_v9,True,False
22200322,3388,materiality_pending,,0.01,cache description: Clippers Rebound,production_rebound_v9,True,False
22200331,3717,materiality_pending,,0.01,cache description: BUCKS Rebound,production_rebound_v9,True,False
22200331,3912,materiality_pending,,0.01,cache description: Lakers Rebound,production_rebound_v9,True,False
22200733,5955,materiality_pending,,0.01,cache description: Cavaliers Rebound,production_rebound_v9,True,False
22201187,1569,materiality_pending,,0.01,cache description: [GSW] Team Rebound,production_rebound_v9,True,False
22201187,1573,materiality_pending,,0.01,cache description: [GSW] Team Rebound,production_rebound_v9,True,False
22400072,288,materiality_pending,,0.01,cache description: Warriors Rebound,production_rebound_v9,True,False
