game_id,team_id,player_id,seconds_on,team_oreb_on,team_dreb_on,opp_oreb_on,opp_dreb_on
20400736,1610612739,446,1058,6,9,11,9
20400736,1610612739,727,966,5,8,7,11
20400736,1610612739,976,2188,12,20,9,17
20400736,1610612739,980,2378,14,22,13,20
20400736,1610612739,1714,1190,8,10,11,11
20400736,1610612739,1956,1090,6,12,0,7
20400736,1610612739,2040,182,0,1,0,1
20400736,1610612739,2205,113,0,1,0,1
20400736,1610612739,2400,1883,10,20,4,17
20400736,1610612739,2544,2585,16,24,11,22
20400736,1610612739,2562,767,3,8,4,9
20400736,1610612743,935,624,2,5,5,6
20400736,1610612743,948,410,0,2,3,6
20400736,1610612743,1761,1270,10,11,8,11
20400736,1610612743,1863,2318,11,18,11,23
20400736,1610612743,1889,2172,7,21,13,20
20400736,1610612743,1922,457,3,2,1,4
20400736,1610612743,2030,2588,12,22,12,26
20400736,1610612743,2403,2305,13,24,16,18
20400736,1610612743,2546,2256,12,20,11,21
20500090,1610612738,1548,1908,14,17,13,19
20500090,1610612738,1711,2070,12,22,13,21
20500090,1610612738,1718,2227,14,22,13,22
20500090,1610612738,1729,2214,12,28,10,26
20500090,1610612738,2243,464,2,7,2,6
20500090,1610612738,2424,952,3,15,3,12
20500090,1610612738,2570,213,0,6,2,2
20500090,1610612738,2744,643,4,9,3,9
20500090,1610612738,2753,2018,13,21,14,18
20500090,1610612738,2770,328,0,7,3,2
20500090,1610612738,101155,1154,6,16,7,11
20500090,1610612738,101158,209,0,5,2,2
20500090,1610612745,87,522,3,6,2,5
20500090,1610612745,133,1910,12,19,11,24
20500090,1610612745,436,1300,8,15,9,17
20500090,1610612745,468,1405,6,14,8,14
20500090,1610612745,983,209,2,2,0,5
20500090,1610612745,1503,1652,10,15,11,13
20500090,1610612745,1507,1038,5,12,5,14
20500090,1610612745,1747,1756,11,20,7,28
20500090,1610612745,1763,71,0,0,0,0
20500090,1610612745,2031,1546,9,15,9,15
20500090,1610612745,2397,1787,10,18,12,20
20500090,1610612745,101129,1204,9,14,6,20
20500102,1610612740,136,2581,16,27,9,27
20500102,1610612740,2046,1743,8,22,7,22
20500102,1610612740,2049,2069,14,24,7,22
20500102,1610612740,2365,1039,6,14,3,12
20500102,1610612740,2411,1437,11,14,4,13
20500102,1610612740,2446,923,3,11,3,13
20500102,1610612740,2561,2376,15,25,8,25
20500102,1610612740,2745,743,5,8,4,7
20500102,1610612740,2761,364,1,6,2,6
20500102,1610612740,101108,2625,16,29,8,28
20500102,1610612748,56,2143,8,22,14,24
20500102,1610612748,297,2090,8,28,14,22
20500102,1610612748,952,1823,6,16,10,23
20500102,1610612748,1715,1644,4,17,7,21
20500102,1610612748,1899,2095,5,24,13,23
20500102,1610612748,2548,2744,10,33,17,30
20500102,1610612748,2574,914,6,9,6,10
20500102,1610612748,2617,2447,8,26,14,27
20800032,1610612742,467,1931,9,30,9,25
20800032,1610612742,711,696,3,12,3,9
20800032,1610612742,956,1182,7,19,5,20
20800032,1610612742,1717,1935,9,29,8,26
20800032,1610612742,1891,1907,5,20,9,25
20800032,1610612742,2205,1698,3,16,8,16
20800032,1610612742,2572,2179,9,30,8,29
20800032,1610612742,101123,985,3,8,6,9
20800032,1610612742,101138,938,1,6,5,10
20800032,1610612742,200826,949,1,5,4,11
20800032,1610612750,1563,1207,5,14,3,11
20800032,1610612750,2034,2478,13,29,10,33
20800032,1610612750,2744,2154,8,29,9,29
20800032,1610612750,101119,1594,5,21,4,14
20800032,1610612750,101155,1389,6,17,7,23
20800032,1610612750,200751,1921,11,23,7,25
20800032,1610612750,200760,4,0,0,0,0
20800032,1610612750,200783,865,5,9,1,7
20800032,1610612750,201147,1436,5,21,6,22
20800032,1610612750,201567,1352,7,17,3,11
20900113,1610612751,1747,2581,11,34,12,32
20900113,1610612751,2059,1111,7,13,6,11
20900113,1610612751,2239,2562,11,35,11,32
20900113,1610612751,2250,1640,9,23,10,18
