season,team_id,player_id,expected_games,observed_games,exact_schedule,nbastats_tree_path,pbpstats_tree_path,date_conflict_games
2004-05,1610612749,2590,82,82,1,datasets/nbastats_2004.tar.xz,datasets/pbpstats_2004.tar.xz,0
2004-05,1610612760,2863,82,82,1,datasets/nbastats_2004.tar.xz,datasets/pbpstats_2004.tar.xz,0
2015-16,1610612761,203082,82,82,1,datasets/nbastats_2015.tar.xz,datasets/pbpstats_2015.tar.xz,0
2017-18,1610612744,1626188,82,82,1,datasets/nbastats_2017.tar.xz,datasets/pbpstats_2017.tar.xz,0
2017-18,1610612755,203496,82,82,1,datasets/nbastats_2017.tar.xz,datasets/pbpstats_2017.tar.xz,0
2019-20,1610612743,1628408,73,72,0,datasets/nbastats_2019.tar.xz,datasets/pbpstats_2019.tar.xz,0
2019-20,1610612748,1629735,73,72,0,datasets/nbastats_2019.tar.xz,datasets/pbpstats_2019.tar.xz,0
2019-20,1610612760,1628987,72,71,0,datasets/nbastats_2019.tar.xz,datasets/pbpstats_2019.tar.xz,0
2021-22,1610612744,1627780,82,82,1,datasets/nbastats_2021.tar.xz,datasets/pbpstats_2021.tar.xz,0
2021-22,1610612754,1630613,82,82,1,datasets/nbastats_2021.tar.xz,datasets/pbpstats_2021.tar.xz,0
2021-22,1610612760,1630598,82,82,1,datasets/nbastats_2021.tar.xz,datasets/pbpstats_2021.tar.xz,0
2022-23,1610612760,1630322,82,82,1,datasets/nbastats_2022.tar.xz,datasets/pbpstats_2022.tar.xz,0
2022-23,1610612764,1630692,82,82,1,datasets/nbastats_2022.tar.xz,datasets/pbpstats_2022.tar.xz,0
2022-23,1610612765,202711,82,82,1,datasets/nbastats_2022.tar.xz,datasets/pbpstats_2022.tar.xz,0
2022-23,1610612766,1630208,82,82,1,datasets/nbastats_2022.tar.xz,datasets/pbpstats_2022.tar.xz,0
2022-23,1610612766,1631121,82,82,1,datasets/nbastats_2022.tar.xz,datasets/pbpstats_2022.tar.xz,0
2023-24,1610612740,1630346,82,81,0,datasets/nbastats_2023.tar.xz,datasets/pbpstats_2023.tar.xz,0
2023-24,1610612751,1630592,82,82,1,datasets/nbastats_2023.tar.xz,datasets/pbpstats_2023.tar.xz,0
2023-24,1610612763,1631246,82,81,0,datasets/nbastats_2023.tar.xz,datasets/pbpstats_2023.tar.xz,0
2023-24,1610612763,1641713,82,81,0,datasets/nbastats_2023.tar.xz,datasets/pbpstats_2023.tar.xz,0
2024-25,1610612744,1642366,82,82,1,datasets/nbastats_2024.tar.xz,datasets/pbpstats_2024.tar.xz,0
