season,player_id,team_id,expected,schedule_sources,schedule_games,verdict,accepted_game_ids,reason,transaction_proof
2004-05,2590,1610612749,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,UNRESOLVED,,transaction_state_outside_team_on_82_games,"[[""2004-11-02"", ""depart"", ""1610612749"", """", ""Brandon Williams, previously with the Milwaukee Bucks, became a free agent.""]]"
2004-05,2863,1610612760,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,20400015|20400029|20400043|20400057|20400068|20400079|20400094|20400098|20400109|20400120|20400138|20400155|20400165|20400183|20400197|20400210|20400219|20400245|20400270|20400274|20400293|20400315|20400339|20400376|20400398|20400406|20400417|20400422|20400443|20400456|20400465|20400490|20400504|20400514|20400529|20400543|20400559|20400583|20400598|20400611|20400620|20400638|20400657|20400667|20400698|20400716|20400729|20400740|20400754|20400779|20400787|20400794|20400812|20400821|20400836|20400844|20400865|20400879|20400894|20400913|20400925|20400940|20400947|20400969|20400984|20400997|20401012|20401021|20401036|20401050|20401059|20401078|20401091|20401104|20401130|20401137|20401153|20401168|20401184|20401195|20401215|20401227,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2004-11-03"", ""acquire"", """", ""1610612760"", ""The Seattle SuperSonics signed Damien Wilkins as a free agent.""]]"
2015-16,203082,1610612761,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,UNRESOLVED,,transaction_state_unknown_on_3_games,"[[""2015-11-02"", ""acquire"", """", ""1610612761"", ""Toronto Raptors re-signed guard Terrence Ross to a Rookie Scale Extension.""]]"
2017-18,1626188,1610612744,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,21700002|21700025|21700033|21700045|21700063|21700075|21700091|21700100|21700117|21700135|21700148|21700163|21700184|21700199|21700215|21700231|21700236|21700263|21700276|21700284|21700296|21700312|21700318|21700335|21700346|21700358|21700368|21700395|21700417|21700450|21700464|21700479|21700489|21700494|21700514|21700528|21700535|21700562|21700566|21700578|21700597|21700613|21700622|21700631|21700646|21700657|21700679|21700699|21700713|21700728|21700751|21700774|21700782|21700803|21700815|21700831|21700846|21700864|21700872|21700887|21700900|21700917|21700928|21700963|21700976|21700984|21700994|21701019|21701033|21701044|21701056|21701087|21701102|21701114|21701128|21701142|21701153|21701163|21701175|21701195|21701203|21701217,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2017-10-17"", ""acquire"", """", ""1610612744"", ""Golden State Warriors signed guard Quinn Cook to a Two-Way Contract.""], [""2018-04-10"", ""acquire"", """", ""1610612744"", ""Golden State Warriors re-signed guard Quinn Cook to a Rest-of-Season Contract.""]]"
2017-18,203496,1610612755,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,21700006|21700019|21700027|21700041|21700057|21700081|21700095|21700107|21700121|21700156|21700167|21700184|21700200|21700214|21700231|21700244|21700255|21700278|21700291|21700305|21700314|21700330|21700341|21700363|21700379|21700389|21700401|21700421|21700444|21700451|21700467|21700480|21700493|21700520|21700536|21700544|21700555|21700569|21700614|21700639|21700663|21700678|21700690|21700704|21700722|21700736|21700741|21700756|21700770|21700777|21700802|21700818|21700828|21700842|21700855|21700870|21700884|21700895|21700909|21700923|21700927|21700947|21700957|21700973|21700999|21701005|21701022|21701030|21701052|21701066|21701073|21701088|21701105|21701118|21701130|21701143|21701157|21701169|21701183|21701198|21701214|21701223,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2014-11-15"", ""acquire"", """", ""1610612755"", ""The Philadelphia 76ers signed Robert Covington .""], [""2017-11-17"", ""acquire"", """", ""1610612755"", ""Philadelphia 76ers re-signed forward Robert Covington to a Veteran Extension.""]]"
2019-20,1628408,1610612743,73,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_73_games,[]
2019-20,1629735,1610612748,73,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_73_games,[]
2019-20,1628987,1610612760,72,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_72_games,[]
2021-22,1627780,1610612744,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22100002|22100016|22100039|22100051|22100070|22100086|22100117|22100130|22100145|22100152|22100169|22100183|22100194|22100210|22100224|22100231|22100252|22100278|22100290|22100300|22100316|22100340|22100346|22100361|22100376|22100396|22100405|22100414|22100435|22100443|22100462|22100485|22100490|22100514|22100528|22100544|22100559|22100572|22100580|22100604|22100614|22100627|22100637|22100652|22100667|22100683|22100694|22100708|22100720|22100734|22100750|22100764|22100771|22100785|22100813|22100828|22100837|22100854|22100866|22100883|22100894|22100917|22100930|22100943|22100959|22100980|22100994|22101008|22101025|22101042|22101070|22101080|22101088|22101102|22101117|22101129|22101145|22101165|22101176|22101202|22101215|22101225,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2021-10-19"", ""acquire"", """", ""1610612744"", ""Golden State Warriors signed guard Gary Payton II to a Contract.""]]"
2021-22,1630613,1610612754,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22100003|22100019|22100028|22100042|22100058|22100072|22100081|22100095|22100109|22100131|22100143|22100167|22100172|22100186|22100203|22100214|22100230|22100240|22100257|22100268|22100284|22100301|22100309|22100319|22100333|22100355|22100369|22100383|22100405|22100421|22100428|22100465|22100476|22100499|22100517|22100530|22100547|22100564|22100571|22100594|22100609|22100618|22100634|22100659|22100680|22100683|22100697|22100712|22100723|22100741|22100746|22100760|22100773|22100789|22100805|22100816|22100839|22100857|22100870|22100876|22100897|22100914|22100921|22100933|22100946|22100963|22100976|22101007|22101016|22101029|22101053|22101062|22101086|22101096|22101109|22101124|22101137|22101153|22101169|22101178|22101214|22101216,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2021-08-05"", ""acquire"", """", ""1610612754"", ""Indiana Pacers signed guard Duane Washington Jr. to a Two-Way Contract.""], [""2022-04-07"", ""acquire"", """", ""1610612754"", ""Indiana Pacers re-signed guard Duane Washington Jr. to a Rest-of-Season Contract.""]]"
