season,player_id,team_id,expected_team_games,schedule_games,verdict,accepted_source,accepted_game_ids,reason,roster_sources_with_rows
2004-05,2590,1610612749,82,0,UNRESOLVED,,,no_exact_schedule_game_ids_in_current_proof,0
2004-05,2863,1610612760,82,82,UNRESOLVED,,,no_independent_roster_source_exactly_matches_schedule; {},0
2015-16,203082,1610612761,82,79,UNRESOLVED,,,schedule_count_79_ne_expected_82,0
2017-18,1626188,1610612744,82,82,UNRESOLVED,,,no_independent_roster_source_exactly_matches_schedule; {},0
2017-18,203496,1610612755,82,68,UNRESOLVED,,,schedule_count_68_ne_expected_82,0
2019-20,1628408,1610612743,73,8,UNRESOLVED,,,schedule_count_8_ne_expected_73,0
2019-20,1629735,1610612748,73,34,UNRESOLVED,,,schedule_count_34_ne_expected_73,0
2019-20,1628987,1610612760,72,48,UNRESOLVED,,,schedule_count_48_ne_expected_72,0
2021-22,1627780,1610612744,82,82,UNRESOLVED,,,no_independent_roster_source_exactly_matches_schedule; {},0
2021-22,1630613,1610612754,82,2,UNRESOLVED,,,schedule_count_2_ne_expected_82,0
2021-22,1630598,1610612760,82,27,UNRESOLVED,,,schedule_count_27_ne_expected_82,0
2022-23,1630322,1610612760,82,22,UNRESOLVED,,,schedule_count_22_ne_expected_82,0
2022-23,1630692,1610612764,82,24,UNRESOLVED,,,schedule_count_24_ne_expected_82,0
2022-23,202711,1610612765,82,76,UNRESOLVED,,,schedule_count_76_ne_expected_82,0
2022-23,1630208,1610612766,82,9,UNRESOLVED,,,schedule_count_9_ne_expected_82,0
2022-23,1631121,1610612766,82,20,UNRESOLVED,,,schedule_count_20_ne_expected_82,0
2023-24,1630346,1610612740,82,1,UNRESOLVED,,,schedule_count_1_ne_expected_82,0
2023-24,1630592,1610612751,82,23,UNRESOLVED,,,schedule_count_23_ne_expected_82,0
2023-24,1631246,1610612763,82,45,UNRESOLVED,,,schedule_count_45_ne_expected_82,0
2023-24,1641713,1610612763,82,30,UNRESOLVED,,,schedule_count_30_ne_expected_82,0
2024-25,1642366,1610612744,82,31,UNRESOLVED,,,schedule_count_31_ne_expected_82,0
