season,player_id,team_id,name_candidates,name_source_count,transaction_hit_count,name_sources
2004-05,2590,1610612749,Mo Williams,22,104,team_trb_all_players/final_integrity_rebuild/canonical_23_key_reconciliation/missing_23_keys.csv|team_trb_all_players/final_integrity_rebuild/canonical_23_key_reconciliation/reconciliation_report.json|team_trb_all_players/final_integrity_rebuild/canonical_23_key_repair/targeted_23_key_diagnostics.csv|team_trb_all_players/final_integrity_rebuild/canonical_23_key_repairability/repairability_23_keys.csv|team_trb_all_players/final_integrity_rebuild/canonical_23_key_repairability/repairability_report.json|team_trb_all_players/final_integrity_rebuild/canonical_23_key_targeted_repair/repair_diagnostic.json|team_trb_all_players/final_integrity_rebuild/diagnostics/stage2_missing_23/STAGE2_MISSING_23_DIAGNOSTIC.json|team_trb_all_players/final_integrity_rebuild/diagnostics/stage2_missing_23/STAGE2_MISSING_23_KEYS.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/corrected_off/tail_materiality_report.json|team_trb_all_players/impact_database/corrected_off/zero_minute_tail_exclusions.json|team_trb_all_players/impact_database/roster_tenure/normalization_unresolved.json|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json|treb_automation/status/AUTOFINISH_LATEST.json|treb_automation/status/AUTOFINISH_V2_LATEST.json
2004-05,2863,1610612760,Damien Wilkins,10,117,team_trb_all_players/final_integrity_rebuild/PRE2015_DYNAMIC_MINUTE_RESOLUTION.json|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/normalization_unresolved.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json
2015-16,203082,1610612761,Ross|Terrence Ross,10,13,team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/final9_targeted_evidence/FAILED6_PERIOD_EVIDENCE.json|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json
2017-18,1626188,1610612744,Quinn Cook,8,36,team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json
2017-18,203496,1610612755,Covington|Robert Covington,10,51,team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/final9_targeted_evidence/FAILED6_PERIOD_EVIDENCE.json|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json
2019-20,1628408,1610612743,Dozier|P.J. Dozier|PJ Dozier,14,33,team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_LINEUP_CANARY.json|team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_SCHEMA_PROBE.json|team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_SOURCE_PROBE.json|team_trb_all_players/final_integrity_rebuild/canonical_23_key_reconciliation/stage2_extra_76_keys.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json|team_trb_all_players/impact_database/roster_tenure_v3_hybrid/tenure_game_count_failures.json
2019-20,1629735,1610612748,Chris Silva|Silva,13,23,team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_LINEUP_CANARY.json|team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_SCHEMA_PROBE.json|team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_SOURCE_PROBE.json|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json|team_trb_all_players/impact_database/roster_tenure_v3_hybrid/tenure_game_count_failures.json
2019-20,1628987,1610612760,Hervey|Kevin Hervey,9,3,team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_LINEUP_CANARY.json|team_trb_all_players/final_integrity_rebuild/V3_ONLY_2019_SOURCE_PROBE.json|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json
2021-22,1627780,1610612744,Gary Payton II|Payton II,10,22,team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_WITH_MISSING_GAMES.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_consistency_audit.json|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json|treb_automation/status/REBOUND_SEMANTICS_2025_CANARY_LATEST.json
2021-22,1630613,1610612754,Duane Washington Jr.,11,26,team_trb_all_players/final_integrity_rebuild/canonical_23_key_reconciliation/stage2_extra_76_keys.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_FULLY_TEAM_GAME_COVERED_BUT_NOT_ASSEMBLED.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEYS_FULLY_TEAM_GAME_COVERED_WITH_PLAYER_FACT_DEFICIT.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/residual_game_scope/RESIDUAL_KEY_GAME_COVERAGE.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/CANONICAL_UNRESOLVED_AFTER_SAFE_LOCK.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_CANONICAL_OVERLAY.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/safe_lock_overlay/SAFE_LOCK_OLDER_LOCKED_OVERLAP_COMPARISON.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_EXACT_SOURCE_OVERLAY_MAPPING.csv|team_trb_all_players/final_integrity_rebuild/final_exact_release/source_overlay_mapping/CANONICAL_UNRESOLVED_AFTER_EXACT_OVERLAY.csv|team_trb_all_players/impact_database/roster_tenure/tenure_window_audit.json|team_trb_all_players/impact_database/roster_tenure_v3_hybrid/tenure_game_count_failures.json
