expected_team_games,extra_ledger_games,game_ids,ledger_games,matched_windows,player_id,prior_status,prior_tenure_identity_source,reconstructed_games,season,status,team_id,window_provenance
82,0,0020100006|0020100019|0020100026|0020100045|0020100059|0020100074|0020100091|0020100111|0020100117|0020100138|0020100150|0020100156|0020100170|0020100185|0020100201|0020100217|0020100236|0020100240|0020100259|0020100282|0020100289|0020100297|0020100310|0020100325|0020100342|0020100359|0020100376|0020100392|0020100403|0020100420|0020100438|0020100445|0020100463|0020100484|0020100496|0020100515|0020100523|0020100529|0020100546|0020100565|0020100574|0020100586|0020100602|0020100619|0020100630|0020100645|0020100668|0020100682|0020100688|0020100706|0020100714|0020100735|0020100743|0020100754|0020100771|0020100783|0020100805|0020100834|0020100846|0020100857|0020100872|0020100889|0020100905|0020100925|0020100943|0020100950|0020100962|0020100974|0020100989|0020101012|0020101027|0020101032|0020101051|0020101078|0020101093|0020101110|0020101119|0020101133|0020101149|0020101161|0020101171|0020101185,74,1,762,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0020100006|0020100020|0020100031|0020100047|0020100067|0020100095|0020100117|0020100133|0020100147|0020100155|0020100172|0020100183|0020100194|0020100206|0020100219|0020100229|0020100245|0020100257|0020100286|0020100309|0020100332|0020100347|0020100356|0020100369|0020100380|0020100402|0020100407|0020100424|0020100439|0020100446|0020100461|0020100476|0020100482|0020100503|0020100513|0020100530|0020100550|0020100561|0020100573|0020100592|0020100608|0020100625|0020100638|0020100652|0020100661|0020100681|0020100695|0020100701|0020100716|0020100723|0020100750|0020100761|0020100775|0020100792|0020100814|0020100826|0020100841|0020100855|0020100869|0020100876|0020100895|0020100918|0020100930|0020100938|0020100953|0020100963|0020100976|0020100986|0020100997|0020101009|0020101020|0020101037|0020101056|0020101060|0020101070|0020101082|0020101106|0020101127|0020101142|0020101150|0020101167|0020101181,48,1,2349,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612765,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0020100006|0020100020|0020100031|0020100047|0020100067|0020100095|0020100117|0020100133|0020100147|0020100155|0020100172|0020100183|0020100194|0020100206|0020100219|0020100229|0020100245|0020100257|0020100286|0020100309|0020100332|0020100347|0020100356|0020100369|0020100380|0020100402|0020100407|0020100424|0020100439|0020100446|0020100461|0020100476|0020100482|0020100503|0020100513|0020100530|0020100550|0020100561|0020100573|0020100592|0020100608|0020100625|0020100638|0020100652|0020100661|0020100681|0020100695|0020100701|0020100716|0020100723|0020100750|0020100761|0020100775|0020100792|0020100814|0020100826|0020100841|0020100855|0020100869|0020100876|0020100895|0020100918|0020100930|0020100938|0020100953|0020100963|0020100976|0020100986|0020100997|0020101009|0020101020|0020101037|0020101056|0020101060|0020101070|0020101082|0020101106|0020101127|0020101142|0020101150|0020101167|0020101181,82,1,722,BLOCKED_VALIDATION,exact_v3_roster_ledger_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612765,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0020500002|0020500016|0020500027|0020500045|0020500067|0020500078|0020500093|0020500105|0020500112|0020500125|0020500143|0020500150|0020500160|0020500177|0020500196|0020500213|0020500225|0020500237|0020500254|0020500271|0020500282|0020500302|0020500319|0020500327|0020500342|0020500368|0020500382|0020500396|0020500403|0020500416|0020500431|0020500440|0020500455|0020500468|0020500483|0020500498|0020500519|0020500525|0020500540|0020500559|0020500572|0020500583|0020500595|0020500613|0020500628|0020500639|0020500660|0020500671|0020500692|0020500705|0020500722|0020500734|0020500750|0020500774|0020500787|0020500808|0020500835|0020500849|0020500861|0020500872|0020500886|0020500907|0020500910|0020500926|0020500937|0020500953|0020500971|0020500976|0020501008|0020501024|0020501030|0020501062|0020501075|0020501087|0020501107|0020501120|0020501137|0020501154|0020501171|0020501192|0020501209|0020501230,81,1,1761,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2005-06,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612743,"[{""tenure_start"":""2005-11-01"",""tenure_end"":""2006-04-19"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0021000003|0021000015|0021000037|0021000059|0021000084|0021000092|0021000111|0021000122|0021000142|0021000156|0021000164|0021000173|0021000198|0021000217|0021000222|0021000247|0021000252|0021000269|0021000281|0021000290|0021000313|0021000336|0021000347|0021000364|0021000374|0021000389|0021000404|0021000413|0021000429|0021000451|0021000469|0021000480|0021000496|0021000503|0021000519|0021000529|0021000543|0021000552|0021000568|0021000582|0021000587|0021000602|0021000619|0021000635|0021000648|0021000659|0021000674|0021000679|0021000698|0021000718|0021000728|0021000749|0021000762|0021000772|0021000801|0021000817|0021000832|0021000840|0021000847|0021000876|0021000885|0021000901|0021000911|0021000927|0021000946|0021000952|0021000983|0021000996|0021001009|0021001024|0021001040|0021001062|0021001089|0021001102|0021001108|0021001128|0021001146|0021001158|0021001169|0021001189|0021001209|0021001224,81,1,201584,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2010-11,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612745,"[{""tenure_start"":""2010-10-26"",""tenure_end"":""2011-04-13"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
72,0,0022000004|0022000008|0022000031|0022000059|0022000071|0022000090|0022000098|0022000120|0022000139|0022000154|0022000164|0022000182|0022000198|0022000210|0022000217|0022000237|0022000247|0022000265|0022000282|0022000297|0022000303|0022000319|0022000330|0022000339|0022000360|0022000370|0022000384|0022000399|0022000411|0022000442|0022000456|0022000476|0022000485|0022000498|0022000519|0022000529|0022000549|0022000567|0022000575|0022000592|0022000605|0022000625|0022000639|0022000652|0022000673|0022000690|0022000698|0022000713|0022000723|0022000739|0022000747|0022000764|0022000786|0022000810|0022000818|0022000837|0022000854|0022000866|0022000897|0022000908|0022000926|0022000932|0022000943|0022000964|0022000970|0022000986|0022000998|0022001007|0022001021|0022001037|0022001057|0022001071,60,1,1626196,BLOCKED_VALIDATION,schedule_audited_tenure_identity,72,2020-21,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2020-12-22"",""tenure_end"":""2021-05-16"",""team_games_in_window"":72,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
72,0,0022000004|0022000008|0022000031|0022000059|0022000071|0022000090|0022000098|0022000120|0022000139|0022000154|0022000164|0022000182|0022000198|0022000210|0022000217|0022000237|0022000247|0022000265|0022000282|0022000297|0022000303|0022000319|0022000330|0022000339|0022000360|0022000370|0022000384|0022000399|0022000411|0022000442|0022000456|0022000476|0022000485|0022000498|0022000519|0022000529|0022000549|0022000567|0022000575|0022000592|0022000605|0022000625|0022000639|0022000652|0022000673|0022000690|0022000698|0022000713|0022000723|0022000739|0022000747|0022000764|0022000786|0022000810|0022000818|0022000837|0022000854|0022000866|0022000897|0022000908|0022000926|0022000932|0022000943|0022000964|0022000970|0022000986|0022000998|0022001007|0022001021|0022001037|0022001057|0022001071,61,1,1627827,BLOCKED_VALIDATION,schedule_audited_tenure_identity,72,2020-21,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2020-12-22"",""tenure_end"":""2021-05-16"",""team_games_in_window"":72,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
72,0,0022000004|0022000008|0022000031|0022000059|0022000071|0022000090|0022000098|0022000120|0022000139|0022000154|0022000164|0022000182|0022000198|0022000210|0022000217|0022000237|0022000247|0022000265|0022000282|0022000297|0022000303|0022000319|0022000330|0022000339|0022000360|0022000370|0022000384|0022000399|0022000411|0022000442|0022000456|0022000476|0022000485|0022000498|0022000519|0022000529|0022000549|0022000567|0022000575|0022000592|0022000605|0022000625|0022000639|0022000652|0022000673|0022000690|0022000698|0022000713|0022000723|0022000739|0022000747|0022000764|0022000786|0022000810|0022000818|0022000837|0022000854|0022000866|0022000897|0022000908|0022000926|0022000932|0022000943|0022000964|0022000970|0022000986|0022000998|0022001007|0022001021|0022001037|0022001057|0022001071,68,1,1629029,BLOCKED_VALIDATION,schedule_audited_tenure_identity,72,2020-21,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2020-12-22"",""tenure_end"":""2021-05-16"",""team_games_in_window"":72,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
72,0,0022000004|0022000008|0022000031|0022000059|0022000071|0022000090|0022000098|0022000120|0022000139|0022000154|0022000164|0022000182|0022000198|0022000210|0022000217|0022000237|0022000247|0022000265|0022000282|0022000297|0022000303|0022000319|0022000330|0022000339|0022000360|0022000370|0022000384|0022000399|0022000411|0022000442|0022000456|0022000476|0022000485|0022000498|0022000519|0022000529|0022000549|0022000567|0022000575|0022000592|0022000605|0022000625|0022000639|0022000652|0022000673|0022000690|0022000698|0022000713|0022000723|0022000739|0022000747|0022000764|0022000786|0022000810|0022000818|0022000837|0022000854|0022000866|0022000897|0022000908|0022000926|0022000932|0022000943|0022000964|0022000970|0022000986|0022000998|0022001007|0022001021|0022001037|0022001057|0022001071,71,1,203501,BLOCKED_VALIDATION,schedule_audited_tenure_identity,72,2020-21,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2020-12-22"",""tenure_end"":""2021-05-16"",""team_games_in_window"":72,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
72,0,0022000004|0022000008|0022000031|0022000059|0022000071|0022000090|0022000098|0022000120|0022000139|0022000154|0022000164|0022000182|0022000198|0022000210|0022000217|0022000237|0022000247|0022000265|0022000282|0022000297|0022000303|0022000319|0022000330|0022000339|0022000360|0022000370|0022000384|0022000399|0022000411|0022000442|0022000456|0022000476|0022000485|0022000498|0022000519|0022000529|0022000549|0022000567|0022000575|0022000592|0022000605|0022000625|0022000639|0022000652|0022000673|0022000690|0022000698|0022000713|0022000723|0022000739|0022000747|0022000764|0022000786|0022000810|0022000818|0022000837|0022000854|0022000866|0022000897|0022000908|0022000926|0022000932|0022000943|0022000964|0022000970|0022000986|0022000998|0022001007|0022001021|0022001037|0022001057|0022001071,70,1,203504,BLOCKED_VALIDATION,schedule_audited_tenure_identity,72,2020-21,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2020-12-22"",""tenure_end"":""2021-05-16"",""team_games_in_window"":72,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
