expected_team_games,extra_ledger_games,game_ids,ledger_games,matched_windows,player_id,prior_status,prior_tenure_identity_source,reconstructed_games,season,status,team_id,window_provenance
82,0,0020100006|0020100019|0020100026|0020100045|0020100059|0020100074|0020100091|0020100111|0020100117|0020100138|0020100150|0020100156|0020100170|0020100185|0020100201|0020100217|0020100236|0020100240|0020100259|0020100282|0020100289|0020100297|0020100310|0020100325|0020100342|0020100359|0020100376|0020100392|0020100403|0020100420|0020100438|0020100445|0020100463|0020100484|0020100496|0020100515|0020100523|0020100529|0020100546|0020100565|0020100574|0020100586|0020100602|0020100619|0020100630|0020100645|0020100668|0020100682|0020100688|0020100706|0020100714|0020100735|0020100743|0020100754|0020100771|0020100783|0020100805|0020100834|0020100846|0020100857|0020100872|0020100889|0020100905|0020100925|0020100943|0020100950|0020100962|0020100974|0020100989|0020101012|0020101027|0020101032|0020101051|0020101078|0020101093|0020101110|0020101119|0020101133|0020101149|0020101161|0020101171|0020101185,74,1,762,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612742,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0020100006|0020100020|0020100031|0020100047|0020100067|0020100095|0020100117|0020100133|0020100147|0020100155|0020100172|0020100183|0020100194|0020100206|0020100219|0020100229|0020100245|0020100257|0020100286|0020100309|0020100332|0020100347|0020100356|0020100369|0020100380|0020100402|0020100407|0020100424|0020100439|0020100446|0020100461|0020100476|0020100482|0020100503|0020100513|0020100530|0020100550|0020100561|0020100573|0020100592|0020100608|0020100625|0020100638|0020100652|0020100661|0020100681|0020100695|0020100701|0020100716|0020100723|0020100750|0020100761|0020100775|0020100792|0020100814|0020100826|0020100841|0020100855|0020100869|0020100876|0020100895|0020100918|0020100930|0020100938|0020100953|0020100963|0020100976|0020100986|0020100997|0020101009|0020101020|0020101037|0020101056|0020101060|0020101070|0020101082|0020101106|0020101127|0020101142|0020101150|0020101167|0020101181,48,1,2349,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612765,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0020100006|0020100020|0020100031|0020100047|0020100067|0020100095|0020100117|0020100133|0020100147|0020100155|0020100172|0020100183|0020100194|0020100206|0020100219|0020100229|0020100245|0020100257|0020100286|0020100309|0020100332|0020100347|0020100356|0020100369|0020100380|0020100402|0020100407|0020100424|0020100439|0020100446|0020100461|0020100476|0020100482|0020100503|0020100513|0020100530|0020100550|0020100561|0020100573|0020100592|0020100608|0020100625|0020100638|0020100652|0020100661|0020100681|0020100695|0020100701|0020100716|0020100723|0020100750|0020100761|0020100775|0020100792|0020100814|0020100826|0020100841|0020100855|0020100869|0020100876|0020100895|0020100918|0020100930|0020100938|0020100953|0020100963|0020100976|0020100986|0020100997|0020101009|0020101020|0020101037|0020101056|0020101060|0020101070|0020101082|0020101106|0020101127|0020101142|0020101150|0020101167|0020101181,82,1,722,BLOCKED_VALIDATION,exact_v3_roster_ledger_tenure_identity,82,2001-02,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612765,"[{""tenure_start"":""2001-10-30"",""tenure_end"":""2002-04-17"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,81,,81,1,2590,NO_EXACT_TENURE_IDENTITY,,0,2004-05,TARGET_GAME_COUNT_MISMATCH,1610612749,"[{""tenure_start"":""2004-11-02"",""tenure_end"":""2004-11-02"",""team_games_in_window"":0,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""RealGM league transaction history"",""confidence"":""provisional_high"",""same_day_resolution"":""resolved_by_deterministic_transaction_day_policy"",""audit_flags"":[""transaction_day_policy_applied""]}]"
82,0,0020400015|0020400029|0020400043|0020400057|0020400068|0020400079|0020400094|0020400098|0020400109|0020400120|0020400138|0020400155|0020400165|0020400183|0020400197|0020400210|0020400219|0020400245|0020400270|0020400274|0020400293|0020400315|0020400339|0020400376|0020400398|0020400406|0020400417|0020400422|0020400443|0020400456|0020400465|0020400490|0020400504|0020400514|0020400529|0020400543|0020400559|0020400583|0020400598|0020400611|0020400620|0020400638|0020400657|0020400667|0020400698|0020400716|0020400729|0020400740|0020400754|0020400779|0020400787|0020400794|0020400812|0020400821|0020400836|0020400844|0020400865|0020400879|0020400894|0020400913|0020400925|0020400940|0020400947|0020400969|0020400984|0020400997|0020401012|0020401021|0020401036|0020401050|0020401059|0020401078|0020401091|0020401104|0020401130|0020401137|0020401153|0020401168|0020401184|0020401195|0020401215|0020401227,39,1,2863,NO_EXACT_TENURE_IDENTITY,,82,2004-05,REJECT:AUDITED_COUNT_DRIFT,1610612760,"[{""tenure_start"":""2004-11-03"",""tenure_end"":""2005-04-20"",""team_games_in_window"":81,""start_source"":""Basketball-Reference via Internet Archive"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""provisional_high"",""same_day_resolution"":""resolved_by_deterministic_transaction_day_policy"",""audit_flags"":[""transaction_day_policy_applied""]}]"
82,0,0020500002|0020500016|0020500027|0020500045|0020500067|0020500078|0020500093|0020500105|0020500112|0020500125|0020500143|0020500150|0020500160|0020500177|0020500196|0020500213|0020500225|0020500237|0020500254|0020500271|0020500282|0020500302|0020500319|0020500327|0020500342|0020500368|0020500382|0020500396|0020500403|0020500416|0020500431|0020500440|0020500455|0020500468|0020500483|0020500498|0020500519|0020500525|0020500540|0020500559|0020500572|0020500583|0020500595|0020500613|0020500628|0020500639|0020500660|0020500671|0020500692|0020500705|0020500722|0020500734|0020500750|0020500774|0020500787|0020500808|0020500835|0020500849|0020500861|0020500872|0020500886|0020500907|0020500910|0020500926|0020500937|0020500953|0020500971|0020500976|0020501008|0020501024|0020501030|0020501062|0020501075|0020501087|0020501107|0020501120|0020501137|0020501154|0020501171|0020501192|0020501209|0020501230,81,1,1761,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2005-06,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612743,"[{""tenure_start"":""2005-11-01"",""tenure_end"":""2006-04-19"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,0,0021000003|0021000015|0021000037|0021000059|0021000084|0021000092|0021000111|0021000122|0021000142|0021000156|0021000164|0021000173|0021000198|0021000217|0021000222|0021000247|0021000252|0021000269|0021000281|0021000290|0021000313|0021000336|0021000347|0021000364|0021000374|0021000389|0021000404|0021000413|0021000429|0021000451|0021000469|0021000480|0021000496|0021000503|0021000519|0021000529|0021000543|0021000552|0021000568|0021000582|0021000587|0021000602|0021000619|0021000635|0021000648|0021000659|0021000674|0021000679|0021000698|0021000718|0021000728|0021000749|0021000762|0021000772|0021000801|0021000817|0021000832|0021000840|0021000847|0021000876|0021000885|0021000901|0021000911|0021000927|0021000946|0021000952|0021000983|0021000996|0021001009|0021001024|0021001040|0021001062|0021001089|0021001102|0021001108|0021001128|0021001146|0021001158|0021001169|0021001189|0021001209|0021001224,81,1,201584,BLOCKED_VALIDATION,schedule_audited_tenure_identity,82,2010-11,EXACT_RETAINED_SCHEDULE_AUDITED_TENURE_IDENTITY,1610612745,"[{""tenure_start"":""2010-10-26"",""tenure_end"":""2011-04-13"",""team_games_in_window"":82,""start_source"":""core affiliation + no in-season acquisition event"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""high"",""same_day_resolution"":""not_applicable_no_transaction_boundary"",""audit_flags"":[]}]"
82,3,0021500057|0021500066|0021500075|0021500096|0021500109|0021500115|0021500131|0021500150|0021500164|0021500173|0021500188|0021500196|0021500219|0021500239|0021500250|0021500272|0021500278|0021500290|0021500308|0021500323|0021500337|0021500355|0021500357|0021500383|0021500390|0021500408|0021500421|0021500441|0021500463|0021500477|0021500492|0021500507|0021500511|0021500529|0021500540|0021500554|0021500588|0021500621|0021500633|0021500649|0021500666|0021500680|0021500694|0021500708|0021500727|0021500732|0021500748|0021500779|0021500797|0021500809|0021500829|0021500835|0021500849|0021500864|0021500879|0021500900|0021500916|0021500936|0021500944|0021500959|0021500977|0021500991|0021501000|0021501012|0021501023|0021501038|0021501057|0021501077|0021501084|0021501098|0021501113|0021501132|0021501140|0021501156|0021501173|0021501183|0021501202|0021501214|0021501218,76,1,203082,NO_EXACT_TENURE_IDENTITY,,79,2015-16,TARGET_GAME_COUNT_MISMATCH,1610612761,"[{""tenure_start"":""2015-11-02"",""tenure_end"":""2016-04-13"",""team_games_in_window"":79,""start_source"":""Official NBA Player Movement feed"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""provisional_high"",""same_day_resolution"":""resolved_by_deterministic_transaction_day_policy"",""audit_flags"":[""transaction_day_policy_applied""]}]"
82,0,0021700002|0021700025|0021700033|0021700045|0021700063|0021700075|0021700091|0021700100|0021700117|0021700135|0021700148|0021700163|0021700184|0021700199|0021700215|0021700231|0021700236|0021700263|0021700276|0021700284|0021700296|0021700312|0021700318|0021700335|0021700346|0021700358|0021700368|0021700395|0021700417|0021700450|0021700464|0021700479|0021700489|0021700494|0021700514|0021700528|0021700535|0021700562|0021700566|0021700578|0021700597|0021700613|0021700622|0021700631|0021700646|0021700657|0021700679|0021700699|0021700713|0021700728|0021700751|0021700774|0021700782|0021700803|0021700815|0021700831|0021700846|0021700864|0021700872|0021700887|0021700900|0021700917|0021700928|0021700963|0021700976|0021700984|0021700994|0021701019|0021701033|0021701044|0021701056|0021701087|0021701102|0021701114|0021701128|0021701142|0021701153|0021701163|0021701175|0021701195|0021701203|0021701217,40,1,1626188,NO_EXACT_TENURE_IDENTITY,,82,2017-18,REJECT:AUDITED_COUNT_DRIFT,1610612744,"[{""tenure_start"":""2017-10-17"",""tenure_end"":""2018-04-11"",""team_games_in_window"":81,""start_source"":""Official NBA Player Movement feed"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""provisional_high"",""same_day_resolution"":""resolved_by_deterministic_transaction_day_policy"",""audit_flags"":[""transaction_day_policy_applied""]}]"
82,14,0021700231|0021700244|0021700255|0021700278|0021700291|0021700305|0021700314|0021700330|0021700341|0021700363|0021700379|0021700389|0021700401|0021700421|0021700444|0021700451|0021700467|0021700480|0021700493|0021700520|0021700536|0021700544|0021700555|0021700569|0021700614|0021700639|0021700663|0021700678|0021700690|0021700704|0021700722|0021700736|0021700741|0021700756|0021700770|0021700777|0021700802|0021700818|0021700828|0021700842|0021700855|0021700870|0021700884|0021700895|0021700909|0021700923|0021700927|0021700947|0021700957|0021700973|0021700999|0021701005|0021701022|0021701030|0021701052|0021701066|0021701073|0021701088|0021701105|0021701118|0021701130|0021701143|0021701157|0021701169|0021701183|0021701198|0021701214|0021701223,81,1,203496,NO_EXACT_TENURE_IDENTITY,,68,2017-18,TARGET_GAME_COUNT_MISMATCH,1610612755,"[{""tenure_start"":""2017-11-17"",""tenure_end"":""2018-04-11"",""team_games_in_window"":68,""start_source"":""Official NBA Player Movement feed"",""end_source"":""core affiliation + no in-season departure event"",""confidence"":""provisional_high"",""same_day_resolution"":""resolved_by_deterministic_transaction_day_policy"",""audit_flags"":[""transaction_day_policy_applied""]}]"
